clique_id	n_regions	chromosome	span_bp	region_types	genes	min_pair_score	mean_pair_score	max_pair_p	max_pair_fdr	density	states	regions
C00135	3	chr22	237302	distal:0;proximal:3	EWSR1;KREMEN1;RHBDD3;ZNRF3-AS1	0.041542	0.062846	0.000367432	0.0365928	1.0	.	chr22:29030777-29031106;chr22:29072837-29073204;chr22:29267827-29268079
C00136	3	chr6	386534	distal:1;proximal:2	ENSG00000272277;SERPINB1	0.043929	0.095742	0.000172067	0.0179124	1.0	.	chr6:2841320-2841671;chr6:3068678-3069469;chr6:3227485-3227854
C00137	3	chr4	589162	distal:1;proximal:2	ENSG00000248206;ING2	0.044022	0.161057	0.000166899	0.0173987	1.0	.	chr4:183398302-183398627;chr4:183505904-183506185;chr4:183987314-183987464
C00138	3	chr7	458989	distal:3;proximal:0	.	0.065703	0.079798	2.74486e-08	4.1021e-06	1.0	.	chr7:116631576-116632088;chr7:116910741-116910896;chr7:117090397-117090565
C00139	3	chr14	27259	distal:0;proximal:3	ENSG00000260669;ENSG00000289979;GMPR2;MDP1;NEDD8;NEDD8-MDP1;TINF2	0.051104	0.054904	1.38963e-05	0.00165182	1.0	.	chr14:24215968-24216211;chr14:24232285-24232954;chr14:24242924-24243227
C00140	3	chr14	779047	distal:1;proximal:2	AP1G2;ENSG00000289979;TINF2	0.060212	0.09007	3.40239e-07	4.69347e-05	1.0	.	chr14:23567752-23567983;chr14:24242924-24243227;chr14:24346649-24346799
C00141	3	chr11	570010	distal:3;proximal:0	.	0.046381	0.093782	7.57746e-05	0.00828694	1.0	.	chr11:65860260-65860553;chr11:66293056-66293206;chr11:66430015-66430270
C00142	3	chr9	323392	distal:2;proximal:1	ZNF79	0.047723	0.153218	4.75416e-05	0.00533302	1.0	.	chr9:127244847-127245793;chr9:127423975-127424156;chr9:127567906-127568239
C00143	3	chr19	784544	distal:1;proximal:2	ARRDC2;FKBP8	0.09027	0.106598	2.58682e-14	5.51009e-12	1.0	.	chr19:18000961-18001388;chr19:18543576-18544160;chr19:18785151-18785505
C00144	3	chr20	510503	distal:2;proximal:1	SOGA1	0.070523	0.10015	2.52909e-09	4.07838e-07	1.0	.	chr20:36353587-36353802;chr20:36674579-36674944;chr20:36863643-36864090
C00145	3	chr19	447727	distal:1;proximal:2	C19orf25;POLR2E	0.061218	0.083569	2.1796e-07	3.05151e-05	1.0	.	chr19:1095276-1095659;chr19:1479105-1479329;chr19:1542615-1543003
C00146	3	chr6	622616	distal:3;proximal:0	.	0.068246	0.201991	7.96283e-09	1.23986e-06	1.0	.	chr6:26743411-26743826;chr6:27297971-27298140;chr6:27365877-27366027
C00147	3	chr6	68056	distal:2;proximal:1	POM121L2	0.089793	0.214106	3.51941e-14	7.44646e-12	1.0	.	chr6:27297971-27298140;chr6:27312241-27312974;chr6:27365877-27366027
C00148	3	chr6	205319	distal:3;proximal:0	.	0.06837	0.202029	7.48765e-09	1.16949e-06	1.0	.	chr6:27297971-27298140;chr6:27365877-27366027;chr6:27503002-27503290
C00149	3	chr17	414472	distal:2;proximal:1	RUNDC3A-AS1	0.078005	0.103529	4.50496e-11	8.06009e-09	1.0	.	chr17:43901150-43901300;chr17:44269570-44269750;chr17:44315104-44315622
C00150	3	chr7	872078	distal:1;proximal:2	CNOT4;STMP1	0.129028	0.249189	0	0	1.0	.	chr7:135509634-135509946;chr7:135662274-135662800;chr7:136381562-136381712
C00151	3	chr1	399105	distal:2;proximal:1	PPM1J-DT	0.07427	0.088029	3.53494e-10	6.01747e-08	1.0	.	chr1:112716315-112716486;chr1:112986055-112986225;chr1:113115174-113115420
C00152	3	chr6	340995	distal:2;proximal:1	PTK7	0.055221	0.144477	2.79119e-06	0.000355059	1.0	.	chr6:43076076-43076478;chr6:43247193-43247399;chr6:43416921-43417071
C00153	3	chr4	559962	distal:1;proximal:2	AFF1;ENSG00000284968;ENSG00000285458;HSD17B11	0.092516	0.119752	5.88418e-15	1.29059e-12	1.0	.	chr4:86831505-86831886;chr4:86935745-86936065;chr4:87391256-87391467
C00154	3	chr11	589113	distal:0;proximal:3	C11orf80;KLC2-AS2;LRFN4;RAB1B;SPTBN2	0.075133	0.088423	2.21525e-10	3.81812e-08	1.0	.	chr11:66267461-66267805;chr11:66744586-66744959;chr11:66856162-66856574
C00155	3	chr3	735191	distal:3;proximal:0	.	0.153749	0.303693	0	0	1.0	.	chr3:45156422-45156609;chr3:45167523-45167706;chr3:45891463-45891613
C00156	3	chr2	577732	distal:2;proximal:1	DUSP28	0.052648	0.14603	7.71671e-06	0.00094058	1.0	.	chr2:240116022-240116193;chr2:240560657-240561334;chr2:240693604-240693754
C00157	3	chr16	172223	distal:2;proximal:1	HBM	0.041011	0.097775	0.000432653	0.0426891	1.0	.	chr16:152938-153299;chr16:235478-235678;chr16:324385-325161
C00158	3	chr3	779446	distal:3;proximal:0	.	0.047803	0.069695	4.62171e-05	0.00519548	1.0	.	chr3:53161062-53161264;chr3:53270030-53270474;chr3:53940358-53940508
C00159	3	chr22	600015	distal:2;proximal:1	PI4KA;SNAP29	0.063254	0.0897	8.66277e-08	1.24864e-05	1.0	.	chr22:20285805-20286052;chr22:20858680-20859121;chr22:20885495-20885820
C00160	3	chr19	937548	distal:3;proximal:0	.	0.063539	0.072357	7.59299e-08	1.09959e-05	1.0	.	chr19:18058509-18058670;chr19:18161396-18161653;chr19:18995907-18996057
C00161	3	chr9	420266	distal:1;proximal:2	ENTR1;PMPCA;QSOX2	0.093992	0.118502	2.22045e-15	4.94953e-13	1.0	.	chr9:135990465-135990916;chr9:136245208-136245419;chr9:136410488-136410731
C00162	3	chr19	643477	distal:3;proximal:0	.	0.09245	0.169744	6.10623e-15	1.33797e-12	1.0	.	chr19:48565105-48565255;chr19:49145964-49146337;chr19:49208377-49208582
C00163	3	chr19	690567	distal:2;proximal:1	ENSG00000287254	0.071264	0.108499	1.72729e-09	2.81532e-07	1.0	.	chr19:14075156-14075322;chr19:14217360-14218021;chr19:14765516-14765723
C00164	3	chr10	891896	distal:1;proximal:2	DPCD;MFSD13A	0.057997	0.064744	8.84656e-07	0.000117711	1.0	.	chr10:101570254-101570623;chr10:101857028-101857236;chr10:102461861-102462150
C00165	3	chr9	699859	distal:3;proximal:0	.	0.047273	0.050379	5.56584e-05	0.00618651	1.0	.	chr9:130701132-130701335;chr9:130958587-130958827;chr9:131400841-131400991
C00166	3	chr5	539007	distal:1;proximal:2	DCTN4;RBM22	0.087154	0.133856	1.90514e-13	3.87409e-11	1.0	.	chr5:150700483-150700844;chr5:150758510-150759173;chr5:151239148-151239490
C00167	3	chr19	241929	distal:1;proximal:2	FKBP8;UBA52	0.066442	0.102143	1.92488e-08	2.90726e-06	1.0	.	chr19:18543576-18544160;chr19:18571528-18572173;chr19:18785151-18785505
C00168	3	chr9	540953	distal:1;proximal:2	CDK9;PTRH1	0.050273	0.12099	1.89342e-05	0.00221947	1.0	.	chr9:127244847-127245793;chr9:127724837-127725053;chr9:127785641-127785800
C00169	3	chr15	599360	distal:3;proximal:0	.	0.056895	0.183229	1.4052e-06	0.00018347	1.0	.	chr15:78308495-78308716;chr15:78360077-78360227;chr15:78907705-78907855
C00170	3	chr16	25558	distal:1;proximal:2	HIRIP3;INO80E	0.056713	0.08726	1.51506e-06	0.000197327	1.0	.	chr16:29995537-29995765;chr16:29996023-29996308;chr16:30020849-30021095
C00171	3	chr19	468655	distal:2;proximal:1	ENSG00000287271;FBXO17	0.06316	0.169078	9.04543e-08	1.30193e-05	1.0	.	chr19:38506942-38507678;chr19:38849445-38849643;chr19:38975438-38975597
C00172	3	chr11	437295	distal:1;proximal:2	AAMDC;ENSG00000268635;PAK1;RSF1	0.047603	0.129391	4.95864e-05	0.0055489	1.0	.	chr11:77383982-77384134;chr11:77473449-77474401;chr11:77820642-77821277
C00173	3	chr11	243901	distal:2;proximal:1	ENSG00000256514	0.378269	0.526981	0	0	1.0	.	chr11:67239516-67240198;chr11:67373038-67373287;chr11:67482887-67483417
C00174	3	chr11	503770	distal:2;proximal:1	GRK2	0.082486	0.113148	3.33655e-12	6.33812e-10	1.0	.	chr11:67266245-67266455;chr11:67391760-67392046;chr11:67769865-67770015
C00175	3	chr17	690552	distal:1;proximal:2	KRBA2;WRAP53	0.060185	0.090194	3.44293e-07	4.74586e-05	1.0	.	chr17:7686320-7686470;chr17:8016616-8016934;chr17:8376628-8376872
C00176	3	chr9	385675	distal:1;proximal:2	COQ4;SLC27A4;TRUB2	0.044557	0.091949	0.00014004	0.0147488	1.0	.	chr9:127955515-127955823;chr9:128322165-128322315;chr9:128340056-128341190
C00177	3	chr17	623622	distal:3;proximal:0	.	0.097039	0.130963	2.22045e-16	5.17006e-14	1.0	.	chr17:17769072-17769240;chr17:17818057-17818281;chr17:18392439-18392694
C00178	3	chr3	467732	distal:2;proximal:1	DOCK3	0.105869	0.149152	0	0	1.0	.	chr3:50321134-50321623;chr3:50674834-50675631;chr3:50788552-50788866
C00179	3	chr17	452950	distal:3;proximal:0	.	0.155394	0.177105	0	0	1.0	.	chr17:18563788-18564399;chr17:18886354-18886674;chr17:19016554-19016738
C00180	3	chr1	272788	distal:3;proximal:0	.	0.05952	0.110925	4.6029e-07	6.26989e-05	1.0	.	chr1:235067697-235068214;chr1:235224389-235224560;chr1:235340285-235340485
C00181	3	chr19	384973	distal:1;proximal:2	ENSG00000289915;NAPA	0.098633	0.235291	1.11022e-16	2.61359e-14	1.0	.	chr19:47130626-47131069;chr19:47243894-47244668;chr19:47514946-47515599
C00182	3	chr17	550397	distal:1;proximal:2	ATP5PD;LLGL2	0.069735	0.099981	3.7767e-09	6.02188e-07	1.0	.	chr17:75046634-75047360;chr17:75524960-75525130;chr17:75596832-75597031
C00183	3	chr15	229139	distal:2;proximal:1	CIB2;IDH3A	0.052342	0.155788	8.68319e-06	0.00105294	1.0	.	chr15:78131088-78131706;chr15:78308495-78308716;chr15:78360077-78360227
C00184	3	chr15	727074	distal:3;proximal:0	.	0.076818	0.180786	8.76484e-11	1.54792e-08	1.0	.	chr15:77633153-77633741;chr15:78308495-78308716;chr15:78360077-78360227
C00185	3	chr1	390102	distal:3;proximal:0	.	0.042946	0.068552	0.000236263	0.0241528	1.0	.	chr1:204935629-204935779;chr1:205294708-205294888;chr1:205325460-205325731
C00186	3	chr16	802121	distal:2;proximal:1	DNAH3;LDAF1	0.092348	0.221177	6.55032e-15	1.43329e-12	1.0	.	chr16:21158512-21158894;chr16:21404754-21404937;chr16:21960483-21960633
C00187	3	chr10	626271	distal:3;proximal:0	.	0.12207	0.218045	0	0	1.0	.	chr10:28823012-28823338;chr10:28987520-28987687;chr10:29449133-29449283
C00188	3	chr22	556065	distal:2;proximal:1	MICALL1	0.055104	0.080482	2.92587e-06	0.000371637	1.0	.	chr22:37905756-37906066;chr22:38220962-38221130;chr22:38461530-38461821
C00189	3	chr22	707504	distal:1;proximal:2	C1QTNF6;MICALL1	0.080647	0.128476	9.87643e-12	1.83307e-09	1.0	.	chr22:37198562-37198917;chr22:37607106-37607361;chr22:37905756-37906066
C00190	3	chr22	834282	distal:2;proximal:1	MICALL1	0.191354	0.306605	0	0	1.0	.	chr22:37607106-37607361;chr22:37905756-37906066;chr22:38441185-38441388
C00191	3	chr22	863810	distal:2;proximal:1	YWHAH	0.041824	0.14599	0.000336597	0.0337343	1.0	.	chr22:31080818-31081045;chr22:31081135-31081558;chr22:31943795-31944628
C00192	3	chr9	580712	distal:3;proximal:0	.	0.04672	0.071493	6.74347e-05	0.00742248	1.0	.	chr9:100120687-100120888;chr9:100136936-100137093;chr9:99556381-99556531
C00193	3	chr6	583619	distal:3;proximal:0	.	0.067392	0.088184	1.21273e-08	1.86084e-06	1.0	.	chr6:37208094-37208459;chr6:37742678-37742828;chr6:37791349-37791713
C00194	3	chr17	936173	distal:2;proximal:1	SNHG29	0.042883	0.17454	0.000241086	0.0246185	1.0	.	chr17:15502951-15503119;chr17:15820012-15820174;chr17:16438705-16439124
C00195	3	chr6	464008	distal:1;proximal:2	ENSG00000261839;ZBED9-AS1;ZSCAN16-AS1	0.04829	0.119794	3.88894e-05	0.00440888	1.0	.	chr6:28124433-28125103;chr6:28136753-28136955;chr6:28588280-28588441
C00196	3	chr6	341475	distal:3;proximal:0	.	0.046594	0.084012	7.0428e-05	0.00773199	1.0	.	chr6:27553126-27553689;chr6:27618213-27618591;chr6:27894441-27894601
C00197	3	chr7	268714	distal:1;proximal:2	RNF32;RNF32-DT	0.047255	0.215082	5.60122e-05	0.00622459	1.0	.	chr7:156640494-156640923;chr7:156640985-156641235;chr7:156909005-156909208
C00198	3	chr2	726860	distal:2;proximal:1	XPO1	0.05266	0.109432	7.68076e-06	0.000936753	1.0	.	chr2:61538108-61538935;chr2:61866438-61866642;chr2:62264818-62264968
C00199	3	chr19	707353	distal:0;proximal:3	ZNF256;ZNF460;ZNF460-AS1;ZNF805	0.127645	0.159683	0	0	1.0	.	chr19:57240550-57240881;chr19:57279750-57280051;chr19:57947583-57947903
C00200	3	chr3	111096	distal:3;proximal:0	.	0.048575	0.144336	3.51336e-05	0.00400439	1.0	.	chr3:73188898-73189097;chr3:73298966-73299137;chr3:73299801-73299994
C00201	3	chr21	938041	distal:1;proximal:2	LINC01424;TRAPPC10;UBE2G2	0.041999	0.081007	0.000318709	0.0320371	1.0	.	chr21:44011984-44012341;chr21:44801652-44802199;chr21:44949820-44950025
C00202	3	chr10	662481	distal:2;proximal:1	ENSG00000283913	0.130931	0.189582	0	0	1.0	.	chr10:79242740-79242923;chr10:79490559-79490768;chr10:79904699-79905221
C00203	3	chrX	335559	distal:1;proximal:2	CCNQ;ZNF275	0.051399	0.120328	1.24343e-05	0.0014836	1.0	.	chrX:153333958-153334299;chrX:153599122-153599669;chrX:153669366-153669517
C00204	3	chr5	632239	distal:2;proximal:1	ENC1	0.098222	0.233331	1.11022e-16	2.61359e-14	1.0	.	chr5:74167517-74167887;chr5:74640836-74641367;chr5:74799606-74799756
C00205	3	chr15	140507	distal:1;proximal:2	AP3B2;WHAMM	0.235175	0.390406	0	0	1.0	.	chr15:82709385-82709665;chr15:82809372-82810091;chr15:82849684-82849892
C00206	3	chr12	627770	distal:3;proximal:0	.	0.138106	0.151979	0	0	1.0	.	chr12:56590234-56590544;chr12:57062699-57062883;chr12:57217837-57218004
C00207	3	chr7	317974	distal:3;proximal:0	.	0.07226	0.188574	1.02822e-09	1.705e-07	1.0	.	chr7:102286712-102286879;chr7:102352370-102352581;chr7:102604394-102604686
C00208	3	chr22	520504	distal:3;proximal:0	.	0.042223	0.153368	0.000297103	0.0299713	1.0	.	chr22:37832979-37833129;chr22:38283476-38283631;chr22:38353197-38353483
C00209	3	chr10	465255	distal:2;proximal:1	PPRC1	0.106095	0.19764	0	0	1.0	.	chr10:101667869-101668195;chr10:101857028-101857236;chr10:102132814-102133124
C00210	3	chr20	760340	distal:2;proximal:1	BMP7;ENSG00000226308	0.067218	0.098904	1.32031e-08	2.02227e-06	1.0	.	chr20:56541603-56541829;chr20:57265744-57266055;chr20:57301793-57301943
C00211	3	chr22	305150	distal:2;proximal:1	HIC2	0.049716	0.065039	2.32448e-05	0.00269764	1.0	.	chr22:21112568-21112735;chr22:21251964-21252287;chr22:21417533-21417718
C00212	3	chr7	442790	distal:0;proximal:3	SLC12A9-AS1;TFR2;TRIM56	0.045242	0.175831	0.000111503	0.0119156	1.0	.	chr7:100642691-100642845;chr7:100852556-100852747;chr7:101085244-101085481
C00213	3	chr7	868551	distal:2;proximal:1	PRKAG2;PRKAG2-AS1	0.046503	0.074995	7.26764e-05	0.0079662	1.0	.	chr7:151009234-151009451;chr7:151113343-151113503;chr7:151877143-151877785
C00214	3	chr22	456287	distal:2;proximal:1	PI4KA;SNAP29	0.04163	0.091222	0.000357542	0.0356945	1.0	.	chr22:20418240-20418624;chr22:20858249-20858607;chr22:20874358-20874527
C00215	3	chr2	712896	distal:2;proximal:1	CYP27C1	0.098212	0.10621	1.11022e-16	2.61359e-14	1.0	.	chr2:126657508-126658123;chr2:127220066-127220453;chr2:127370074-127370404
C00216	3	chr19	895741	distal:2;proximal:1	CSNK1G2	0.11142	0.137664	0	0	1.0	.	chr19:1044826-1045628;chr19:1260844-1261122;chr19:1940211-1940567
C00217	3	chr13	193184	distal:3;proximal:0	.	0.155861	0.294292	0	0	1.0	.	chr13:69767215-69767365;chr13:69871368-69871526;chr13:69960230-69960399
C00218	3	chr19	604122	distal:2;proximal:1	SNAPC2	0.047029	0.100617	6.06064e-05	0.00669952	1.0	.	chr19:7605019-7605251;chr19:7920283-7921051;chr19:8208954-8209141
C00219	3	chr19	543437	distal:2;proximal:1	NOSIP;PRR12	0.042985	0.122923	0.000233377	0.0238797	1.0	.	chr19:49591046-49591228;chr19:49890113-49890698;chr19:50134207-50134483
C00220	3	chr19	524636	distal:3;proximal:0	.	0.071875	0.172816	1.25781e-09	2.07175e-07	1.0	.	chr19:49890113-49890698;chr19:50134207-50134483;chr19:50414490-50414749
C00221	3	chr1	482125	distal:2;proximal:1	PIK3C2B	0.047375	0.068218	5.37161e-05	0.00598563	1.0	.	chr1:204493809-204494195;chr1:204806961-204807420;chr1:204975784-204975934
C00222	3	chr1	482125	distal:1;proximal:2	ENSG00000287197;NFASC;PIK3C2B	0.064173	0.100501	5.65678e-08	8.273e-06	1.0	.	chr1:204493809-204494195;chr1:204828479-204828982;chr1:204975784-204975934
C00223	3	chr19	437038	distal:3;proximal:0	.	0.072227	0.101201	1.04604e-09	1.73351e-07	1.0	.	chr19:17303290-17303657;chr19:17657286-17657436;chr19:17740173-17740328
C00224	3	chr17	458776	distal:2;proximal:1	FAM117A;KAT7	0.060587	0.07645	2.88507e-07	4.00227e-05	1.0	.	chr17:49567926-49568339;chr17:49788334-49788763;chr17:50026522-50026702
C00225	3	chrX	265695	distal:2;proximal:1	MAP3K15	0.10372	0.14136	0	0	1.0	.	chrX:19382668-19382994;chrX:19515085-19515351;chrX:19648160-19648363
C00226	3	chr9	611354	distal:3;proximal:0	.	0.058138	0.183628	8.33274e-07	0.000111101	1.0	.	chr9:87032031-87032181;chr9:87443878-87444028;chr9:87643235-87643385
C00227	3	chr1	714659	distal:2;proximal:1	SERTAD4	0.066401	0.114886	1.96368e-08	2.96303e-06	1.0	.	chr1:209692984-209693163;chr1:210232479-210232874;chr1:210407276-210407643
C00228	3	chr2	202796	distal:0;proximal:3	ENSG00000259080;PPM1G;ZNF512;ZNF513	0.049175	0.079358	2.83054e-05	0.00325866	1.0	.	chr2:27380337-27380935;chr2:27409280-27410015;chr2:27582689-27583133
C00229	3	chr6	651836	distal:2;proximal:1	SMAP1	0.074761	0.169014	2.71157e-10	4.65233e-08	1.0	.	chr6:70187919-70188069;chr6:70667622-70668707;chr6:70839605-70839755
C00230	3	chr11	537546	distal:2;proximal:1	BET1L;RIC8A	0.054262	0.063383	4.10005e-06	0.000513478	1.0	.	chr11:207353-208004;chr11:728132-728488;chr11:744725-744899
C00231	3	chr1	438888	distal:1;proximal:2	B4GALT3;ENSG00000289141	0.074019	0.138604	4.04622e-10	6.87197e-08	1.0	.	chr1:160951486-160951710;chr1:161176937-161177119;chr1:161389656-161390374
C00232	3	chr6	134066	distal:1;proximal:2	TEAD3	0.094751	0.198246	1.33227e-15	3.00112e-13	1.0	.	chr6:35363168-35363647;chr6:35496379-35496738;chr6:35497032-35497234
C00233	3	chr16	451556	distal:2;proximal:1	SRRM2;SRRM2-AS1	0.149839	0.314115	0	0	1.0	.	chr16:2751947-2753055;chr16:3189294-3189626;chr16:3203163-3203503
C00234	3	chr3	310309	distal:0;proximal:3	EMC3;ENSG00000206567;ENSG00000291078;FANCD2;SEC13	0.040818	0.136013	0.000458965	0.0451446	1.0	.	chr3:10011048-10011385;chr3:10026236-10026723;chr3:10320929-10321357
C00235	3	chr19	688456	distal:1;proximal:2	ENSG00000267372;POLRMT	0.040494	0.073436	0.000506448	0.0494986	1.0	.	chr19:1019960-1020113;chr19:1320880-1321067;chr19:632611-632775
C00236	3	chr19	60560	distal:0;proximal:3	CCDC106;ZNF579;ZNF865	0.055424	0.075429	2.57132e-06	0.000328107	1.0	.	chr19:55580778-55581098;chr19:55604974-55605742;chr19:55641188-55641338
C00237	3	chr19	67802	distal:3;proximal:0	.	0.073241	0.090923	6.13019e-10	1.02961e-07	1.0	.	chr19:48737723-48737882;chr19:48795107-48795358;chr19:48805339-48805525
C00238	3	chr19	462632	distal:3;proximal:0	.	0.042577	0.076896	0.000265675	0.0269559	1.0	.	chr19:48332726-48333281;chr19:48737723-48737882;chr19:48795107-48795358
C00239	3	chr1	699314	distal:3;proximal:0	.	0.083608	0.132593	1.7002e-12	3.28146e-10	1.0	.	chr1:100539686-100539841;chr1:100794798-100795175;chr1:101238777-101239000
C00240	3	chr19	774120	distal:1;proximal:2	AP2S1;IGFL4	0.050952	0.112789	1.47094e-05	0.0017423	1.0	.	chr19:46076998-46077153;chr19:46416431-46416722;chr19:46850535-46851118
C00241	3	chr9	660447	distal:2;proximal:1	FOCAD	0.061941	0.122447	1.57567e-07	2.2308e-05	1.0	.	chr9:20658216-20658782;chr9:20708573-20708723;chr9:21318289-21318663
C00242	3	chr11	444231	distal:2;proximal:1	MRPL48	0.05881	0.186185	6.25381e-07	8.43162e-05	1.0	.	chr11:73661023-73661296;chr11:73788542-73788757;chr11:74105104-74105254
C00243	3	chr14	585068	distal:2;proximal:1	ATG14	0.112549	0.170321	0	0	1.0	.	chr14:54826914-54827219;chr14:55015289-55015597;chr14:55411703-55411982
C00244	3	chr13	526802	distal:3;proximal:0	.	0.160718	0.306138	0	0	1.0	.	chr13:93937619-93937796;chr13:94038896-94039082;chr13:94464003-94464421
C00245	3	chr10	822571	distal:2;proximal:1	ENSG00000282952	0.041389	0.165997	0.000385237	0.0382766	1.0	.	chr10:78552341-78552491;chr10:78852985-78853142;chr10:79374654-79374912
C00246	3	chrX	319537	distal:2;proximal:1	HCFC1	0.042922	0.050698	0.000238068	0.0243216	1.0	.	chrX:153651902-153652117;chrX:153824708-153824877;chrX:153971148-153971439
C00247	3	chr15	771799	distal:3;proximal:0	.	0.041414	0.062824	0.000382229	0.0379947	1.0	.	chr15:70062426-70062944;chr15:70467041-70467210;chr15:70833992-70834225
C00248	3	chr1	689663	distal:2;proximal:1	SIKE1	0.120794	0.141722	0	0	1.0	.	chr1:114780279-114780927;chr1:114886007-114886201;chr1:115469776-115469942
C00249	3	chr8	357167	distal:1;proximal:2	REEP4;SLC39A14	0.084403	0.155161	1.04905e-12	2.04646e-10	1.0	.	chr8:22010225-22010447;chr8:22141174-22141426;chr8:22366918-22367392
C00250	3	chr1	353846	distal:1;proximal:2	ENSG00000289103;RUSC1-AS1	0.048134	0.158717	4.11043e-05	0.00464523	1.0	.	chr1:154970759-154970934;chr1:155001061-155001215;chr1:155324091-155324605
C00251	3	chr1	353846	distal:2;proximal:1	RUSC1-AS1	0.051509	0.149968	1.19265e-05	0.00142533	1.0	.	chr1:154970759-154970934;chr1:155091490-155091740;chr1:155324091-155324605
C00252	3	chr11	898318	distal:0;proximal:3	ACTN3;CORO1B;ENSG00000274251;ZDHHC24	0.046118	0.048526	8.29169e-05	0.00902705	1.0	.	chr11:66545932-66546323;chr11:67353465-67353873;chr11:67443939-67444250
C00253	3	chr2	621865	distal:3;proximal:0	.	0.041007	0.059305	0.000433273	0.0427464	1.0	.	chr2:158722987-158723137;chr2:158995802-158995957;chr2:159344690-159344852
C00254	3	chr19	203811	distal:2;proximal:1	ATP8B3	0.052189	0.0941	9.20544e-06	0.0011131	1.0	.	chr19:1812270-1813155;chr19:1837709-1837887;chr19:2015684-2016081
C00255	3	chr15	857004	distal:2;proximal:1	NRG4;TMEM266	0.12976	0.178304	0	0	1.0	.	chr15:76059691-76060091;chr15:76732447-76732649;chr15:76916486-76916695
C00256	3	chr9	694627	distal:3;proximal:0	.	0.284215	0.414181	0	0	1.0	.	chr9:131558243-131558393;chr9:131981614-131981770;chr9:132252493-132252870
C00257	3	chr12	565936	distal:2;proximal:1	NAB2;NEMP1	0.087346	0.146531	1.68754e-13	3.44171e-11	1.0	.	chr12:56630271-56630487;chr12:57088445-57089097;chr12:57195890-57196207
C00258	3	chr4	310083	distal:3;proximal:0	.	0.043851	0.238159	0.000176514	0.0183443	1.0	.	chr4:87019482-87019709;chr4:87073724-87073900;chr4:87329406-87329565
C00259	3	chr7	546078	distal:2;proximal:1	PAXIP1;PAXIP1-DT	0.041202	0.064668	0.000408026	0.0404032	1.0	.	chr7:155002449-155003182;chr7:155190684-155190919;chr7:155548218-155548527
C00260	3	chr19	706897	distal:3;proximal:0	.	0.150379	0.231716	0	0	1.0	.	chr19:47013029-47013479;chr19:47241154-47241320;chr19:47719744-47719926
C00261	3	chr1	63348	distal:1;proximal:2	ENSG00000225886;ENSG00000287244;FAM76A	0.045641	0.080658	9.74824e-05	0.0104962	1.0	.	chr1:27663222-27663437;chr1:27669242-27669435;chr1:27726224-27726570
C00262	3	chr1	199744	distal:2;proximal:1	ENSG00000287244;FAM76A	0.102356	0.136537	0	0	1.0	.	chr1:27526826-27527021;chr1:27663222-27663437;chr1:27726224-27726570
C00263	3	chr20	606319	distal:2;proximal:1	MMP24OS	0.098089	0.196348	1.11022e-16	2.61359e-14	1.0	.	chr20:35277510-35278229;chr20:35584010-35584261;chr20:35883594-35883829
C00264	3	chr20	328440	distal:2;proximal:1	FAM110A	0.080082	0.158618	1.37206e-11	2.52371e-09	1.0	.	chr20:645579-646018;chr20:833485-833953;chr20:973803-974019
C00265	3	chr6	812815	distal:2;proximal:1	PEX6	0.057754	0.10065	9.80486e-07	0.000129792	1.0	.	chr6:42166578-42166742;chr6:42946386-42946536;chr6:42979141-42979393
C00266	3	chr19	437730	distal:0;proximal:3	ENSG00000268055;ENSG00000287271;FBXO17;NFKBIB;SIRT2	0.046484	0.119039	7.31546e-05	0.00801702	1.0	.	chr19:38537867-38538092;chr19:38899417-38900277;chr19:38975438-38975597
C00267	3	chr3	12977	distal:1;proximal:2	IFRD2;LSMEM2	0.063985	0.163244	6.1733e-08	8.99641e-06	1.0	.	chr3:50279844-50280039;chr3:50291734-50291928;chr3:50292272-50292821
C00268	3	chrX	367903	distal:3;proximal:0	.	0.149654	0.211518	0	0	1.0	.	chrX:48696253-48697102;chrX:49018365-49018565;chrX:49064006-49064156
C00269	3	chrX	367903	distal:2;proximal:1	TIMM17B	0.096513	0.159665	3.33067e-16	7.71294e-14	1.0	.	chrX:48696253-48697102;chrX:48898107-48898343;chrX:49064006-49064156
C00270	3	chr22	836658	distal:3;proximal:0	.	0.114342	0.224003	0	0	1.0	.	chr22:31080818-31081045;chr22:31081135-31081558;chr22:31917180-31917476
C00271	3	chr2	726135	distal:0;proximal:3	CENPA;HADHA;MAPRE3;SLC35F6	0.050961	0.131501	1.46617e-05	0.00173721	1.0	.	chr2:26244567-26245025;chr2:26764153-26764342;chr2:26970464-26970702
C00272	3	chr12	460267	distal:3;proximal:0	.	0.083836	0.101253	1.48115e-12	2.87019e-10	1.0	.	chr12:121352012-121352618;chr12:121443295-121443578;chr12:121811716-121812279
C00273	3	chr17	583354	distal:3;proximal:0	.	0.063984	0.134288	6.17777e-08	9.00174e-06	1.0	.	chr17:18563788-18564399;chr17:19031767-19032379;chr17:19146924-19147142
C00274	3	chr1	398239	distal:3;proximal:0	.	0.081138	0.131099	7.41207e-12	1.38496e-09	1.0	.	chr1:58417278-58417428;chr1:58779905-58780197;chr1:58815230-58815517
C00275	3	chr6	261965	distal:3;proximal:0	.	0.057849	0.06326	9.41686e-07	0.00012488	1.0	.	chr6:16286208-16286391;chr6:16491161-16491424;chr6:16547956-16548173
