cluster	n_peaks	n_proximal	n_distal	n_genes	span	states	genes
564	9	2	7	2	chr12:49234491-50416337 (1182kb)	.	C1QL4,ENSG00000258101
624	9	3	6	3	chr1:28296892-29236593 (940kb)	.	MED18,PTPRU,TRNAU1AP
734	9	2	7	3	chr14:102498534-104214317 (1716kb)	.	CDC42BPB,PPP1R13B,PPP1R13B-DT
776	9	4	5	5	chr1:44793700-46651395 (1858kb)	.	DMBX1,ENSG00000289407,NASP,PIK3R3,PTCH2
856	9	7	2	7	chr15:34223868-34988718 (765kb)	.	AQR,EMC4,GOLGA8B,NOP10,NUTM1,SLC12A6,ZNF770
978	9	3	6	4	chr1:6199399-6851080 (652kb)	.	ACOT7,ENSG00000271746,ICMT,THAP3
1079	9	3	6	3	chr17:18274721-19786192 (1511kb)	.	ENSG00000262319,FAM83G,TRIM16L
1152	9	4	5	5	chr17:48578154-51245084 (2667kb)	.	COL1A1,ENSG00000249406,ENSG00000261976,HOXB4,NME2
1267	9	3	6	3	chr1:84633139-85607480 (974kb)	.	CCN1,MCOLN3,SYDE2
1289	9	6	3	8	chr19:9819006-11559449 (1740kb)	.	ELOF1,ENSG00000267477,PLPPR2,RAB3D,TMEM205,TYK2,ZNF627,ZNF653
1310	9	2	7	2	chr19:15231063-16771798 (1541kb)	.	PGLYRP2,WIZ
2123	9	4	5	4	chr5:149271684-150905371 (1634kb)	.	AFAP1L1,RPS14,SLC26A2,ZNF300
2275	9	2	7	2	chr6:2109075-3238617 (1130kb)	.	BPHL,SERPINB6
2376	9	3	6	5	chr7:102492709-103083357 (591kb)	.	ARMC10,ENSG00000270249,ENSG00000286830,FAM185A,FBXL13
2414	9	2	7	3	chr7:149170477-150649763 (1479kb)	.	ENSG00000284048,REPIN1,ZNF775
2715	9	4	5	5	chrX:153226124-153953668 (728kb)	.	ARHGAP4,CCNQ,ENSG00000273877,NAA10,ZNF275
138	8	5	3	6	chr1:1000090-2195468 (1195kb)	.	ATAD3A,AURKAIP1,HES4,ISG15,TMEM52,VWA1
264	8	4	4	5	chr1:150549146-152378309 (1829kb)	.	ADAMTSL4,CDC42SE1,GABPB2,S100A11,SNX27
380	8	3	5	5	chr11:8870726-9841742 (971kb)	.	ENSG00000268403,IPO7,TMEM9B,TMEM9B-AS1,ZNF143
395	8	6	2	6	chr1:201023601-201983407 (960kb)	.	ENSG00000229191,ENSG00000286600,KIF21B,RNPEP,TIMM17A,TMEM9
453	8	2	6	4	chr1:211515247-212942778 (1428kb)	.	ENSG00000260805,ENSG00000288007,FLVCR1,FLVCR1-DT
496	8	1	7	1	chr1:225720429-227198730 (1478kb)	.	SRP9
515	8	4	4	7	chr1:229507972-230978471 (1470kb)	.	ABCB10,ARV1,C1orf198,ENSG00000223393,NUP133,NUP133-DT,TTC13
730	8	1	7	1	chr14:99145683-100440653 (1295kb)	.	EVL
746	8	2	6	2	chr14:20662844-21329475 (667kb)	.	METTL17,ZNF219
816	8	3	5	6	chr14:73058236-74276793 (1219kb)	.	COQ6,ENSG00000273711,FAM161B,RBM25,RBM25-AS1,ZNF410
1068	8	6	2	7	chr16:88570124-89923422 (1353kb)	.	CDT1,CHMP1A,ENSG00000259006,ENSG00000289151,SNAI3,SPATA33,ZC3H18
1073	8	3	5	3	chr17:16536271-18411897 (1876kb)	.	ENSG00000266498,LINC02076,SHMT1
1132	8	4	4	5	chr17:44385029-45162019 (777kb)	.	FZD2,HEXIM2-AS1,KIF18B,KIF18B-DT,MEIOC
1207	8	3	5	3	chr17:7219724-8376872 (1157kb)	.	DLG4,KRBA2,WRAP53
1381	8	3	5	3	chr19:43104385-44305196 (1201kb)	.	IRGQ,ZNF235,ZNF428
1413	8	4	4	6	chr19:5680880-6412630 (732kb)	.	DUS3L,GTF2F1,HSD11B1L,MICOS13,RANBP3,RANBP3-DT
1415	8	6	2	8	chr19:57916172-58575816 (660kb)	.	ENSG00000268230,ENSG00000269476,ENSG00000286104,ZNF417,ZNF497,ZNF497-AS1,ZNF584,ZNF584-DT
1444	8	4	4	5	chr20:31605092-32457699 (853kb)	.	ENSG00000226239,ENSG00000289875,ID1,TM9SF4,XKR7
1458	8	2	6	3	chr20:35664403-37346198 (1682kb)	.	CPNE1,MANBAL,RBM12
1508	8	3	5	4	chr20:63216017-64039266 (823kb)	.	GMEB2,MHENCR,SLC2A4RG,YTHDF1
1558	8	3	5	5	chr21:43866301-45478383 (1612kb)	.	ENSG00000289009,LINC01424,PTTG1IP,TRAPPC10,UBE2G2
1689	8	5	3	5	chr2:238053519-238289270 (236kb)	.	ENSG00000283635,ERFE,HES6,ILKAP,SCLY
1714	8	2	6	3	chr22:45697854-46777932 (1080kb)	.	CDPF1,ENSG00000289858,PPARA
1724	8	5	3	7	chr2:27050303-27958812 (909kb)	.	AGBL5-AS1,CCDC121,ENSG00000259080,GPN1,IFT172,OST4,ZNF512
1901	8	4	4	6	chr3:193592913-195337361 (1744kb)	.	ATP13A4,ENSG00000289385,HES1,LINC02026,LSG1,OPA1
1948	8	3	5	3	chr3:51538522-52198638 (660kb)	.	ALAS1,RAD54L2,RPL29
1953	8	2	6	3	chr3:52897395-53940508 (1043kb)	.	ENSG00000286531,STIMATE,STIMATE-MUSTN1
1971	8	1	7	1	chr3:72781194-73881886 (1101kb)	.	GXYLT2
2137	8	4	4	5	chr5:172002436-173964658 (1962kb)	.	ENSG00000287814,ENSG00000288799,FBXW11,NKX2-5,STK10
2204	8	5	3	8	chr6:108260690-109861599 (1601kb)	.	ARMC2,CD164,ENSG00000260273,ENSG00000286562,ENSG00000287044,PPIL6,SMPD2,SNX3
2410	8	5	3	5	chr7:148913331-149874069 (961kb)	.	ATP6V0E2,ZNF282,ZNF777,ZNF783,ZNF786
2418	8	4	4	5	chr7:151028996-152026137 (997kb)	.	ABCB8,ENSG00000243433,ENSG00000290095,GALNT11,PRKAG2-AS1
2483	8	3	5	4	chr7:72954454-75528516 (2574kb)	.	ENSG00000285886,METTL27,NSUN5P2,PMS2P3
2635	8	5	3	6	chr9:21054127-21995438 (941kb)	.	CDKN2A,CDKN2B-AS1,ENSG00000264545,ENSG00000266446,KLHL9,MTAP
2643	8	3	5	3	chr9:34523016-36136001 (1613kb)	.	ENHO,GLIPR2,UNC13B
3790	8	8	0	9	chr19:57240550-58452042 (1211kb)	.	A1BG-AS1,ERVK3-1,RNF225,RPS5,ZNF256,ZNF324B,ZNF460,ZNF460-AS1,ZNF805
9	7	4	3	4	chr10:101570254-102545996 (976kb)	.	DPCD,MFSD13A,NPM3,PPRC1
100	7	1	6	2	chr10:73495523-74585597 (1090kb)	.	PPP3CB,PPP3CB-AS1
123	7	5	2	8	chr10:97334931-97791807 (457kb)	.	ANKRD2,ENSG00000225850,FRAT2,MMS19,MORN4,PGAM1,RRP12,UBTD1
130	7	4	3	4	chr1:10032451-11980542 (1948kb)	.	ENSG00000287384,MFN2,SRM,UBE4B
143	7	5	2	6	chr1:109197451-110408024 (1211kb)	.	AMIGO1,CSF1,ENSG00000290117,GNAI3,LAMTOR5,PSRC1
258	7	3	4	4	chr1:150010167-151436151 (1426kb)	.	ENSG00000285184,OTUD7B,PRPF3,VPS45
265	7	4	3	6	chr1:150187607-151699342 (1512kb)	.	CERS2,ENSG00000231073,ENSG00000273481,PI4KB,RFX5,RFX5-AS1
320	7	2	5	2	chr1:16613237-17437762 (825kb)	.	NBPF1,SDHB
404	7	4	3	5	chr1:204692899-205813813 (1121kb)	.	DSTYK,ENSG00000285521,ENSG00000286619,RAB29,SLC41A1
556	7	4	3	5	chr12:47744725-48957744 (1213kb)	.	ARF3,CCDC184,DDX23,ENSG00000269514,ENSG00000272822
608	7	4	3	5	chr12:67648592-69291253 (1643kb)	.	DYRK2,ENSG00000289173,MDM1,RAP1B,SLC35E3
609	7	4	3	5	chr12:68245327-70366472 (2121kb)	.	CCT2,ENSG00000289173,FRS2,KCNMB4,RAP1B
655	7	3	4	5	chr1:32336096-33202683 (867kb)	.	AK2,AZIN2,ENSG00000254553,MARCKSL1,ZBTB8B
656	7	4	3	5	chr1:32539801-33472810 (933kb)	.	RBBP4,YARS1,ZBTB8A,ZBTB8OS,ZSCAN20
710	7	5	2	5	chr1:39105162-40266725 (1162kb)	.	BMP8A,CAP1,ENSG00000284719,MFSD2A,PABPC4
750	7	4	3	7	chr14:22766477-23301397 (535kb)	.	AJUBA,AJUBA-DT,ENSG00000259132,HAUS4,LRP10,OXA1L,OXA1L-DT
760	7	2	5	3	chr14:30002648-31457235 (1455kb)	.	DTD2,ENSG00000203546,G2E3
762	7	5	2	9	chr1:43137001-44437705 (1301kb)	.	ATP6V0B,ELOVL1,ENSG00000284989,ENSG00000285649,ENSG00000288573,ENSG00000288772,IPO13,KDM4A,KDM4A-AS1
843	7	2	5	3	chr15:101007023-101724716 (718kb)	.	SNRPA1,SNRPA1-DT,TARS3
861	7	6	1	7	chr15:39782410-41116732 (1334kb)	.	ENSG00000251161,ENSG00000261136,FSIP1,GCHFR,INO80,IVD,VPS18
901	7	1	6	1	chr15:70062426-71129056 (1067kb)	.	THAP10
909	7	2	5	2	chr15:73633202-74557944 (925kb)	.	CD276,NPTN
932	7	2	5	3	chr15:83955692-85776109 (1820kb)	.	ENSG00000259694,ENSG00000290688,ENSG00000291026
944	7	1	6	2	chr15:88750652-90162861 (1412kb)	.	PEX11A,WDR93
964	7	4	3	4	chr16:235039-1475218 (1240kb)	.	CLCN7,ENSG00000260132,FAM234A,JMJD8
970	7	4	3	4	chr16:1492966-2693122 (1200kb)	.	MAPK8IP3,NDUFB10,PKD1,TELO2
1038	7	2	5	2	chr16:66697227-68539285 (1842kb)	.	CMTM4,GFOD2
1069	7	3	4	4	chr16:89201619-89763825 (562kb)	.	LINC02166,SLC22A31,VPS9D1,ZNF276
1070	7	4	3	6	chr16:89490545-90171491 (681kb)	.	ANKRD11,CHMP1A,FANCA,SPATA33,SPG7,VPS9D1-AS1
1084	7	2	5	3	chr17:20008657-20877420 (869kb)	.	CCDC144NL-AS1,SPECC1,SPECC1-DT
1186	7	4	3	6	chr17:67349018-68292293 (943kb)	.	AMZ2,ENSG00000265055,ENSG00000290793,ENSG00000291214,NOL11,SLC16A6
1238	7	4	3	3	chr18:23354609-24255942 (901kb)	.	ANKRD29,CABYR,TMEM241
1315	7	4	3	5	chr19:16801714-18374673 (1573kb)	.	ENSG00000269799,GDF15,HAUS8,MRPL34,MYO9B
1421	7	4	3	4	chr19:7354508-8269272 (915kb)	.	ENSG00000267952,ENSG00000271717,MCOLN1,ZNF358
1422	7	2	5	3	chr19:7488900-8391004 (902kb)	.	LRRC8E,RAB11B,RAB11B-AS1
1432	7	5	2	7	chr20:17530792-18467499 (937kb)	.	DZANK1,ENSG00000229262,MGME1,OVOL2,POLR3F,RRBP1,SNX5
1452	7	2	5	3	chr20:34415441-35711143 (1296kb)	.	ACSS2,GGT7,TRPC4AP
1504	7	6	1	8	chr20:62796338-63895172 (1099kb)	.	DNAJC5,ENSG00000268858,ENSG00000290226,HELZ2,KCNQ2,MRGBP,PPDPF,TPD52L2
1524	7	3	4	3	chr2:119020696-120452458 (1432kb)	.	PTPN4,SCTR-AS1,TMEM185B
1632	7	2	5	3	chr22:19730991-20401229 (670kb)	.	DGCR6L,ENSG00000235578,ENSG00000273139
1633	7	3	4	4	chr22:19813016-20727282 (914kb)	.	COMT,SCARF2,TXNRD2,ZNF74
1659	7	1	6	2	chr22:30255935-31665964 (1410kb)	.	CCDC157,SF3A1
1771	7	3	4	4	chr2:69893813-71157764 (1264kb)	.	MCEE,MPHOSPH10,PCYOX1,SNRNP27
1800	7	4	3	6	chr2:96010246-96857752 (848kb)	.	ANKRD23,ANKRD39,ENSG00000235480,ENSG00000291176,STARD7,STARD7-AS1
1830	7	1	6	2	chr3:119223583-120742873 (1519kb)	.	GTF2E1,RABL3
1900	7	3	4	3	chr3:185354187-186438499 (1084kb)	.	IGF2BP2,LINC02020,TRA2B
1917	7	2	5	4	chr3:32597011-33799188 (1202kb)	.	GLB1,PDCD6IP,PDCD6IP-DT,TMPPE
1947	7	4	3	7	chr3:50994072-52455655 (1462kb)	.	ABHD14A-ACY1,ENSG00000272762,GRM2,NISCH,PARP3,PCBP4,RRP9
2060	7	1	6	1	chr4:7761727-8607851 (846kb)	.	ACOX3
2156	7	3	4	3	chr5:179550481-180090777 (540kb)	.	MAML1,RNF130,RUFY1
2306	7	2	5	3	chr6:36560914-37819866 (1259kb)	.	RNF8,ZFAND3,ZFAND3-DT
2347	7	6	1	6	chr6:83065679-83860260 (795kb)	.	CYB5R4,ME1,PGM3,RWDD2A,SNAP91,UBE3D
2352	7	2	5	2	chr6:88780867-90297155 (1516kb)	.	BACH2,CASP8AP2
2369	7	2	5	2	chr7:100626584-101914577 (1288kb)	.	FIS1,POP7
2403	7	2	5	2	chr7:139525303-140925279 (1400kb)	.	BRAF,MKRN1
2404	7	2	5	2	chr7:140506798-141441791 (935kb)	.	ENSG00000285904,NDUFB2-AS1
2479	7	4	3	6	chr7:66099756-67303062 (1203kb)	.	ENSG00000226824,ENSG00000291136,PMS2P4,SBDS,STAG3L4,TYW1
2606	7	2	5	3	chr9:128421105-129496940 (1076kb)	.	ENSG00000228395,SPTAN1,TBC1D13
2640	7	5	2	6	chr9:32550760-33511196 (960kb)	.	AQP7,BAG1,CHMP5,NFX1,NOL6,SMIM27
2649	7	4	3	4	chr9:35657447-36996178 (1339kb)	.	CCDC107,CREB3,RNF38,TLN1
2711	7	1	6	1	chrX:135521392-136762941 (1242kb)	.	FHL1
3819	7	0	7	0	chr20:43513967-44729458 (1215kb)	.	.
0	6	1	5	2	chr10:100110320-101292095 (1182kb)	.	CHUK,CHUK-DT
12	6	3	3	4	chr10:102132517-103390115 (1258kb)	.	CNNM2,ENSG00000286575,PCGF6,PPRC1
111	6	1	5	1	chr10:86769466-87204075 (435kb)	.	ENSG00000287077
241	6	1	5	1	chr1:145451887-146836037 (1384kb)	.	NUDT17
285	6	4	2	6	chr1:1574533-2228024 (653kb)	.	ENSG00000215014,PRKCZ,PRKCZ-DT,SKI,SLC35E2B,SSU72
291	6	1	5	1	chr1:15197110-17034567 (1837kb)	.	LINC01783
309	6	5	1	7	chr11:62591438-62881054 (290kb)	.	C11orf98,CSKMT,EML3,ENSG00000255432,ENSG00000255508,NXF1,TUT1
323	6	3	3	4	chr11:66554756-67615823 (1061kb)	.	CORO1B,ENSG00000287851,POLD4,RAD9A
399	6	1	5	1	chr1:202046903-203488225 (1441kb)	.	PPP1R12B
411	6	2	4	2	chr1:206634380-208244410 (1610kb)	.	PLXNA2,YOD1
412	6	1	5	1	chr1:209602120-210970283 (1368kb)	.	SERTAD4
446	6	2	4	4	chr12:120116583-121105403 (989kb)	.	CABP1,CABP1-DT,ENSG00000277283,RAB35
473	6	5	1	5	chr12:132083859-132888056 (804kb)	.	CHFR-DT,ENSG00000274670,ENSG00000277186,ENSG00000291171,PGAM5
497	6	3	3	3	chr12:2583785-3300768 (717kb)	.	ENSG00000258092,ENSG00000278356,ENSG00000287712
530	6	1	5	1	chr1:233842927-234877145 (1034kb)	.	LINC01132
581	6	1	5	2	chr12:54081355-54974142 (893kb)	.	ENSG00000249388,ENSG00000291180
600	6	2	4	3	chr12:6278645-6988580 (710kb)	.	C1S,ENSG00000219410,ING4
630	6	5	1	6	chr1:28259254-29231116 (972kb)	.	ENSG00000270103,MECR,OPRD1,SESN2,TAF12,TMEM200B
648	6	4	2	4	chr1:31231299-32448591 (1217kb)	.	HCRTR1,HDAC1,PTP4A2,TMEM234
657	6	4	2	5	chr13:27022904-28139620 (1117kb)	.	LNX2,PAN3,PDX1,POLR1D,RASL11A
697	6	2	4	2	chr1:35559022-36307358 (748kb)	.	ADPRS,SH3D21
792	6	2	4	3	chr1:45584401-46604517 (1020kb)	.	ENSG00000289407,NASP,RAD54L
822	6	4	2	5	chr14:74647841-75308018 (660kb)	.	DLST,ENSG00000259138,LINC01220,NEK9,YLPM1
884	6	3	3	3	chr15:63752199-65401097 (1649kb)	.	ENSG00000259316,HERC1,PIF1
1003	6	1	5	1	chr1:63674483-64861017 (1187kb)	.	CACHD1
1045	6	5	1	7	chr16:68529920-69514063 (984kb)	.	CHTF8,COG8,DERPC,HAS3,UTP4,VPS4A,ZFP90
1059	6	1	5	1	chr16:84105486-85115222 (1010kb)	.	COTL1
1067	6	3	3	5	chr16:88443086-89985171 (1542kb)	.	GALNS,MVD,SNAI3-AS1,TRAPPC2L,ZNF778-DT
1089	6	3	3	3	chr17:27988660-29472738 (1484kb)	.	SPAG5,SPAG5-AS1,TMEM97
1095	6	4	2	5	chr17:28842487-30477767 (1635kb)	.	DHRS13,EFCAB5,GOSR1,SEZ6,SSH2
1111	6	4	2	4	chr17:39152989-40219518 (1067kb)	.	CDK12,PSMD3,STARD3,WIPF2
1116	6	4	2	7	chr17:4004598-5420175 (1416kb)	.	ENSG00000261898,ENSG00000262429,MED11,NUP88,RPAIN,SPAG7,UBE2G1
1147	6	2	4	3	chr17:48047819-49362672 (1315kb)	.	NFE2L1,NFE2L1-DT,ZNF652
1227	6	4	2	6	chr17:81253424-82648947 (1396kb)	.	CSNK1D,CYBC1,ENSG00000287193,ENSG00000287737,P4HB,WDR45B
1304	6	2	4	2	chr19:12840509-14333818 (1493kb)	.	ENSG00000287296,LINC01842
1354	6	4	2	8	chr19:35495441-35868614 (373kb)	.	APLP1,COX6B1,ENSG00000188223,ENSG00000267120,KRTDAP,NPHS1,PSENEN,U2AF1L4
1410	6	5	1	6	chr19:55160626-56121747 (961kb)	.	ENSG00000267110,ZNF524,ZNF628,ZNF628-DT,ZNF787,ZNF865
1418	6	2	4	2	chr19:6531318-7871589 (1340kb)	.	ENSG00000268120,TNFSF9
1473	6	2	4	3	chr20:43506981-45489980 (1983kb)	.	FITM2,STK4,STK4-DT
1483	6	3	3	4	chr20:48794221-50179534 (1385kb)	.	B4GALT5,CSE1L,CSE1L-DT,LINC01273
1503	6	4	2	6	chr20:62407200-63291542 (884kb)	.	ARFGAP1,CABLES2,ENSG00000167046,LINC00659,NKAIN4,SLCO4A1
1550	6	1	5	2	chr21:36759770-37564807 (805kb)	.	ENSG00000273210,ENSG00000287637
1581	6	1	5	2	chr2:173049338-174060069 (1011kb)	.	ENSG00000289296,SP3
1594	6	4	2	5	chr2:196171293-196927275 (756kb)	.	CCDC150,ENSG00000282836,GTF3C3,HECW2,PGAP1
1634	6	3	3	4	chr22:20507418-21990652 (1483kb)	.	ENSG00000291044,PPM1F,THAP7,THAP7-AS1
1677	6	3	3	3	chr22:34955599-35492193 (537kb)	.	ENSG00000282041,ENSG00000282602,MCM5
1691	6	2	4	2	chr22:38114565-39153278 (1039kb)	.	APOBEC3B,CBX7
1708	6	3	3	3	chr22:42519707-43486654 (967kb)	.	BIK,PACSIN2,RRP7A
1721	6	3	3	4	chr2:26720982-27617958 (897kb)	.	ATRAID,CAD,DPYSL5,SLC5A6
1770	6	3	3	3	chr2:69643638-70294300 (651kb)	.	ANXA4,ENSG00000231024,SNRPG
1787	6	3	3	3	chr2:74198333-75200576 (1002kb)	.	ENSG00000279070,PCGF1,TACR1
1816	6	5	1	8	chr3:9249570-10180870 (931kb)	.	ARPC4,ARPC4-TTLL3,ENSG00000291078,FANCD2,IL17RE,JAGN1,SRGAP3-AS4,TADA3
1873	6	3	3	4	chr3:149812580-150603629 (791kb)	.	RNF13,SELENOT,SERP1,TSC22D2
1897	6	5	1	6	chr3:183884618-184812915 (928kb)	.	ENSG00000283765,FAM131A,PARL,PSMD2,VPS8,VWA5B2
1936	6	3	3	5	chr3:47522177-48899051 (1377kb)	.	CCDC51,ENSG00000289043,NME6,SLC25A20,TMA7
1952	6	3	3	3	chr3:52536996-53382726 (846kb)	.	ENSG00000286531,ITIH3,TKT
1969	6	2	4	2	chr3:68972449-69739726 (767kb)	.	ARL6IP5,MITF
2007	6	2	4	2	chr4:139551026-140427052 (876kb)	.	CLGN,SCOC-AS1
2063	6	1	5	2	chr4:8158722-8918309 (760kb)	.	ABLIM2,ENSG00000290015
2095	6	2	4	2	chr5:132585583-133192097 (607kb)	.	GDF9,UQCRQ
2111	6	4	2	4	chr5:139560876-141041452 (1481kb)	.	CYSTM1,ENSG00000288892,HBEGF,PURA
2113	6	4	2	4	chr5:139795663-140711576 (916kb)	.	CYSTM1,HBEGF,PSD2,WDR55
2171	6	5	1	12	chr5:218860-893524 (675kb)	.	BRD9,CCDC127,ENSG00000286001,EXOC3,EXOC3-AS1,PDCD6,PDCD6-AHRR,PDCD6-DT,PP7080,SDHA,SLC9A3-AS1,TRIP13
2254	6	1	5	1	chr6:150070966-151676213 (1605kb)	.	MTHFD1L
2292	6	3	3	5	chr6:2791308-4018842 (1228kb)	.	ENSG00000270504,ENSG00000272248,ENSG00000288904,PXDC1,TUBB2A
2427	6	4	2	5	chr7:156539597-157033992 (494kb)	.	LINC00244,MNX1,MNX1-AS1,RNF32,RNF32-DT
2490	6	1	5	1	chr7:75879193-76438141 (559kb)	.	SRRM3
2539	6	3	3	3	chr8:22010225-23171348 (1161kb)	.	CCAR2,REEP4,SLC39A14
2546	6	3	3	5	chr8:37359539-38996344 (1637kb)	.	ADAM9,ENSG00000253356,ENSG00000272092,NSD3,TM2D2
2576	6	4	2	5	chr8:94553414-94951376 (398kb)	.	CCNE2,NDUFAF6,TP53INP1,VIRMA,VIRMA-DT
2585	6	3	3	3	chr9:113056694-114155578 (1099kb)	.	COL27A1,SLC31A2,ZFP37
2607	6	4	2	4	chr9:127931197-129631745 (1701kb)	.	CIZ1,GLE1,IER5L,PIP5KL1
2608	6	1	5	1	chr9:129036307-129790743 (754kb)	.	MIGA2
2666	6	3	3	3	chr9:85713196-86282294 (569kb)	.	AGTPBP1,GOLM1,NAA35
2727	6	1	5	1	chrX:40580427-41334328 (754kb)	.	DDX3X
2934	6	0	6	0	chr1:147627593-148388311 (761kb)	.	.
3053	6	0	6	0	chr1:204684585-205325731 (641kb)	.	.
3163	6	0	6	0	chr1:235649291-236686823 (1038kb)	.	.
3642	6	6	0	10	chr17:7014554-8248597 (1234kb)	.	C17orf49,CTC1,NLGN2,PFAS,SAT2,SLC16A13,TMEM256,TMEM256-PLSCR3,TP53,WRAP53
4038	6	0	6	0	chr2:41648309-42975557 (1327kb)	.	.
4705	6	0	6	0	chr8:141942251-143408223 (1466kb)	.	.
2	5	4	1	3	chr10:99532771-100998393 (1466kb)	.	BLOC1S2,DNMBP,NKX2-3
20	5	2	3	2	chr10:110007370-111375495 (1368kb)	.	ADD3-AS1,SMC3
23	5	2	3	1	chr10:113429825-114340368 (911kb)	.	CASP7
43	5	3	2	5	chr10:122879510-123994619 (1115kb)	.	BUB3,C10orf88,ENSG00000286088,FAM24B,PSTK
50	5	4	1	7	chr10:13099949-13440470 (341kb)	.	CCDC3,ENSG00000289266,ENSG00000289585,MCM10,OPTN,PHYH,SEPHS1
74	5	3	2	4	chr10:49538955-50397586 (859kb)	.	ERCC6,OGDHL,TIMM23B,TIMM23B-AGAP6
85	5	3	2	3	chr10:68331522-69427438 (1096kb)	.	DDX50,HNRNPH3,PBLD
112	5	3	2	6	chr10:87085143-87863771 (779kb)	.	ENSG00000286445,ENSG00000289051,GLUD1,KLLN,MINPP1,PTEN
146	5	4	1	4	chr1:10973549-11273629 (300kb)	.	EXOSC10,EXOSC10-AS1,TARDBP,UBIAD1
166	5	3	2	3	chr11:116983794-117986478 (1003kb)	.	BACE1,IL10RA,PAFAH1B2
173	5	2	3	2	chr11:118911952-119374419 (462kb)	.	CCDC153,HMBS
179	5	2	3	4	chr1:180712-1550890 (1370kb)	.	CPTP,INTS11,KLHL17,NOC2L
183	5	3	2	4	chr11:124739502-125164963 (425kb)	.	NRGN,PKNOX2,PKNOX2-DT,SLC37A2
197	5	1	4	1	chr1:114134787-115194139 (1059kb)	.	BCAS2
260	5	4	1	6	chr1:150149664-151071323 (922kb)	.	ADAMTSL4-AS1,CDC42SE1,ENSG00000289457,FALEC,GABPB2,PLEKHO1
268	5	1	4	1	chr1:15153357-16961245 (1808kb)	.	TMEM51-AS1
273	5	2	3	2	chr1:153261299-154034983 (774kb)	.	DENND4B,ENSG00000289935
298	5	2	3	3	chr1:161067646-162024080 (956kb)	.	ATF6,ATF6-DT,OLFML2B
303	5	3	2	6	chr11:6173786-6619205 (445kb)	.	APBB1,ENSG00000254400,ENSG00000255680,ILK,RRP8,TPP1
311	5	3	2	3	chr11:62593653-62831393 (238kb)	.	LBHD1,STX5,STX5-DT
341	5	3	2	4	chr1:170284394-171696741 (1412kb)	.	GORAB,GORAB-AS1,LINC01142,PRRC2C
345	5	3	2	4	chr11:73218163-74105254 (887kb)	.	ENSG00000215841,MRPL48,P2RY2,RELT
364	5	4	1	4	chr1:178374228-179082155 (708kb)	.	C1orf220,RALGPS2,RALGPS2-AS1,TOR3A
388	5	4	1	5	chr11:93197689-94129350 (932kb)	.	C11orf54,CEP295,ENSG00000284057,PANX1,SLC36A4
396	5	1	4	1	chr1:201154153-202236633 (1082kb)	.	NAV1
400	5	3	2	3	chr1:202643435-203861902 (1218kb)	.	RABIF,SNRPE,TMEM183A
407	5	1	4	2	chr1:20575254-21270408 (695kb)	.	EIF4G3,ENSG00000287192
444	5	2	3	3	chr12:118016500-118373228 (357kb)	.	PEBP1,TAOK3,VSIG10
452	5	3	2	4	chr12:122029307-122980715 (951kb)	.	ARL6IP4,ENSG00000256028,HIP1R,OGFOD2
479	5	1	4	2	chr1:21770994-22790689 (1020kb)	.	CDC42,CDC42-AS1
500	5	4	1	4	chr1:226083142-226940472 (857kb)	.	COQ8A,ITPKB-IT1,LINC01703,PARP1
503	5	1	4	1	chr1:226548351-227473334 (925kb)	.	STUM
538	5	2	3	2	chr1:235971623-237042271 (1071kb)	.	LINC02768,RYR2
544	5	2	3	3	chr1:24199328-25197542 (998kb)	.	ENSG00000284699,GRHL3,LINC02800
574	5	2	3	2	chr12:53066068-53371525 (305kb)	.	ITGB7,SP7
584	5	4	1	6	chr12:55681476-56300865 (619kb)	.	CD63-AS1,CDK2,CNPY2-AS1,CS,ENSG00000258554,METTL7B
591	5	4	1	5	chr12:56118400-57146769 (1028kb)	.	BAZ2A,ESYT1,LRP1-AS,TIMELESS,ZC3H10
593	5	2	3	2	chr12:57078547-57739205 (661kb)	.	ENSG00000287200,GLI1
599	5	1	4	3	chr12:62269936-62866268 (596kb)	.	ENSG00000275180,LINC01465,MIRLET7IHG
706	5	3	2	4	chr1:38005533-39540483 (1535kb)	.	FHL3,MIR3659HG,MYCBP,POU3F1
716	5	3	2	2	chr13:94595711-95506692 (911kb)	.	ABCC4,TGDS
729	5	2	3	4	chr14:100238365-100574343 (336kb)	.	ENSG00000258982,WARS1,WDR25,YY1
748	5	3	2	6	chr14:22570696-24271917 (1701kb)	.	DHRS4,ENSG00000286825,ENSG00000288044,OXA1L,OXA1L-DT,RABGGTA
752	5	3	2	4	chr14:22557266-24007340 (1450kb)	.	ENSG00000259003,ENSG00000286931,LINC02332,PSMB5
757	5	4	1	8	chr14:23567752-24346799 (779kb)	.	AP1G2,ENSG00000260669,ENSG00000289979,GMPR2,MDP1,NEDD8,NEDD8-MDP1,TINF2
763	5	2	3	2	chr14:34505972-35404888 (899kb)	.	EAPP,NFKBIA
849	5	2	3	3	chr1:51236142-51932229 (696kb)	.	EPS15,EPS15-AS1,RNF11
872	5	2	3	3	chr15:43014753-44252598 (1238kb)	.	MAP1A,MFAP1,TP53BP1
887	5	1	4	1	chr15:65022234-65489123 (467kb)	.	IGDCC3
889	5	1	4	2	chr15:65286521-66633060 (1347kb)	.	DIS3L,DIS3L-AS1
892	5	1	4	2	chr15:66567069-67433779 (867kb)	.	AAGAB,IQCH
