peak1	peak2	coaccess	qval	type1	type2	n_links
chr12:57110265-57110698	chr12:57520438-57520966	0.0213094	0.612027	proximal	distal	8
chr12:57160992-57161235	chr12:57546864-57547396	0.0795129	3.48094e-09	proximal	distal	4
chr12:57175614-57175826	chr12:57590793-57590950	0.0327355	0.36109	proximal	distal	4
chr12:57175907-57176057	chr12:57897065-57897290	0.35416	0	proximal	distal	4
chr12:57195890-57196207	chr12:57771694-57772666	0.0260734	0.612027	proximal	distal	12
chr12:57213422-57213596	chr12:57452957-57453173	0.0270639	0.612027	proximal	distal	4
chr12:57217837-57218004	chr12:57591055-57591551	0.0320438	0.422605	proximal	distal	4
chr12:57239196-57239426	chr12:57754824-57755046	0.0679801	1.40919e-06	proximal	distal	4
chr12:57261583-57261733	chr12:57520438-57520966	0.0266071	0.612027	proximal	distal	8
chr12:57342300-57342648	chr12:57846931-57847237	0.060112	4.89612e-05	proximal	distal	4
chr12:57342300-57342648	chr12:57897065-57897290	0.053851	0.000599905	proximal	distal	4
chr12:57349691-57349881	chr12:57452957-57453173	0.221644	0	proximal	distal	4
chr12:57430572-57431233	chr12:57736527-57736677	0.0356538	0.180216	proximal	distal	8
chr12:57462639-57462925	chr12:57549932-57550365	0.175087	0	proximal	distal	4
chr12:57462639-57462925	chr12:57739036-57739205	0.0625542	1.70157e-05	proximal	distal	4
chr12:57487890-57488310	chr12:57889058-57889235	0.0582265	0.000107153	proximal	distal	4
chr12:57523063-57523278	chr12:57754824-57755046	0.0450213	0.0127671	proximal	distal	4
chr12:57611670-57611829	chr12:57896683-57896867	0.182515	0	proximal	distal	4
chr1:25810893-25811087	chr1:26356799-26356949	0.39746	0	proximal	distal	4
chr12:5960806-5961033	chr12:6451345-6451580	0.11351	0	proximal	distal	8
chr12:6099167-6099317	chr12:6533950-6534533	0.025514	0.612027	proximal	distal	8
chr1:26169695-26170079	chr1:26296453-26296706	0.0815344	1.10296e-09	proximal	distal	8
chr1:26169695-26170079	chr1:26865004-26865544	0.0331739	0.326932	proximal	distal	8
chr12:62269936-62270086	chr12:62603113-62603865	0.0715755	2.40749e-07	proximal	distal	12
chr1:26233828-26234699	chr1:26417106-26417407	0.0276832	0.612027	proximal	distal	4
chr12:62603113-62603865	chr12:62751861-62752204	0.0407288	0.0463244	proximal	distal	12
chr12:62603113-62603865	chr12:62866089-62866268	0.0702063	4.78025e-07	proximal	distal	12
chr12:6278645-6279015	chr12:6988402-6988580	0.0494004	0.00301214	proximal	distal	4
chr1:26279978-26280169	chr1:26829186-26829336	0.364626	0	proximal	distal	4
chr12:6296046-6296196	chr12:6723724-6724755	0.023322	0.612027	proximal	distal	8
chr12:6296046-6296196	chr12:6970580-6971052	0.222638	0	proximal	distal	12
chr1:26296453-26296706	chr1:26692865-26693200	0.03575	0.175861	proximal	distal	8
chr1:26306309-26306882	chr1:26826602-26826763	0.194507	0	proximal	distal	4
chr12:6323300-6323503	chr12:6970061-6970485	0.0224856	0.612027	proximal	distal	12
chr12:6326404-6326554	chr12:6821354-6821987	0.0352149	0.200915	proximal	distal	4
chr12:6371244-6371463	chr12:6723724-6724755	0.0347398	0.225902	proximal	distal	8
chr12:6423650-6424038	chr12:6867383-6867651	0.0244467	0.612027	proximal	distal	4
chr12:6470044-6470466	chr12:6961786-6962017	0.0384132	0.0879007	proximal	distal	4
chr12:6493178-6493420	chr12:6697880-6698074	0.0315869	0.468064	proximal	distal	8
chr12:6493178-6493420	chr12:6764087-6764706	0.0258026	0.612027	proximal	distal	8
chr1:26500913-26501377	chr1:27234248-27234755	0.0254094	0.612027	proximal	distal	8
chr12:6533507-6533745	chr12:6554177-6554367	0.0822337	7.34442e-10	proximal	distal	8
chr12:6533507-6533745	chr12:6580402-6580640	0.0351546	0.203973	proximal	distal	8
chr12:6533950-6534533	chr12:6580402-6580640	0.027033	0.612027	proximal	distal	8
chr12:6533950-6534533	chr12:6927589-6927903	0.0228064	0.612027	proximal	distal	8
chr12:6533950-6534533	chr12:6937871-6938276	0.0461634	0.00889227	proximal	distal	8
chr12:6554177-6554367	chr12:6556018-6556402	0.0633849	1.17746e-05	proximal	distal	4
chr12:6554177-6554367	chr12:6613594-6614590	0.0214661	0.612027	proximal	distal	4
chr12:6554177-6554367	chr12:6700331-6700696	0.055443	0.000325763	proximal	distal	4
chr12:6554502-6554661	chr12:7109199-7109408	0.0971216	5.17006e-14	proximal	distal	4
chr12:6556018-6556402	chr12:6563522-6563695	0.0456674	0.0104105	proximal	distal	4
chr12:65603155-65603305	chr12:66130644-66130901	0.163797	0	proximal	distal	8
chr12:6563522-6563695	chr12:6662804-6662988	0.251823	0	proximal	distal	8
chr12:6580402-6580640	chr12:6821354-6821987	0.0250004	0.612027	proximal	distal	4
chr12:6580402-6580640	chr12:6851236-6851488	0.11557	0	proximal	distal	8
chr12:6580402-6580640	chr12:6970580-6971052	0.0603803	4.37283e-05	proximal	distal	12
chr12:6613058-6613267	chr12:6970580-6971052	0.0491456	0.00328949	proximal	distal	12
chr12:6613594-6614590	chr12:6764087-6764706	0.0476817	0.00540639	proximal	distal	4
chr12:66169275-66169466	chr12:66294055-66294246	0.205757	0	proximal	distal	8
chr12:66169558-66170130	chr12:66234847-66235403	0.0890866	1.16773e-11	proximal	distal	8
chr1:26620815-26621296	chr1:27300732-27301118	0.139519	0	proximal	distal	4
chr1:26621393-26621630	chr1:26865004-26865544	0.0260539	0.612027	proximal	distal	4
chr12:6663084-6663543	chr12:6778613-6779163	0.0332296	0.322749	proximal	distal	8
chr12:6663084-6663543	chr12:6927589-6927903	0.0268268	0.612027	proximal	distal	8
chr12:6689317-6689818	chr12:6752845-6753285	0.0471601	0.00641719	proximal	distal	8
chr1:26692865-26693200	chr1:27154755-27155602	0.0339544	0.2724	proximal	distal	8
chr1:26695619-26696108	chr1:27341880-27342030	0.0344014	0.244972	proximal	distal	4
chr1:26697836-26698379	chr1:26890161-26890658	0.0824252	6.56834e-10	proximal	distal	4
chr12:6764087-6764706	chr12:7018463-7019059	0.0482185	0.0045158	proximal	distal	4
chr1:26787804-26788463	chr1:27341880-27342030	0.0285435	0.612027	proximal	distal	4
chr1:26819916-26820150	chr1:27366902-27367103	0.0214852	0.612027	proximal	distal	4
chr12:68209099-68209694	chr12:68332158-68332657	0.0506606	0.00193309	proximal	distal	4
chr12:6821354-6821987	chr12:6915652-6915852	0.0505929	0.00198031	proximal	distal	4
chr12:6821354-6821987	chr12:7060644-7060794	0.0269625	0.612027	proximal	distal	4
chr12:68245327-68245786	chr12:68611103-68611659	0.0538325	0.000604044	proximal	distal	8
chr12:68332158-68332657	chr12:68565582-68565791	0.032338	0.395521	proximal	distal	4
chr12:68332158-68332657	chr12:68676273-68676743	0.0661257	3.36774e-06	proximal	distal	4
chr12:68332158-68332657	chr12:68830347-68830702	0.02331	0.612027	proximal	distal	4
chr12:68610371-68610958	chr12:69291047-69291253	0.179923	0	proximal	distal	8
chr1:26865004-26865544	chr1:26890161-26890658	0.0273466	0.612027	proximal	distal	4
chr1:26865004-26865544	chr1:27366902-27367103	0.0216629	0.612027	proximal	distal	4
chr12:68676273-68676743	chr12:68745960-68746338	0.0793716	3.76831e-09	proximal	distal	4
chr12:6873259-6873630	chr12:6915652-6915852	0.136747	0	proximal	distal	4
chr12:6873259-6873630	chr12:6936709-6936868	0.220488	0	proximal	distal	4
chr12:6873259-6873630	chr12:7060644-7060794	0.0235794	0.612027	proximal	distal	4
chr12:68878097-68878247	chr12:69359644-69360458	0.0933786	7.38565e-13	proximal	distal	4
chr12:6904647-6904936	chr12:6988402-6988580	0.039338	0.0683551	proximal	distal	4
chr12:69070415-69070616	chr12:69359644-69360458	0.0392389	0.0702506	proximal	distal	4
chr12:69077993-69078143	chr12:69239119-69240294	0.0306562	0.574529	proximal	distal	4
chr1:26921506-26922181	chr1:27392332-27392619	0.0303648	0.611324	proximal	distal	4
chr12:69239119-69240294	chr12:69644040-69644190	0.0283223	0.612027	proximal	distal	4
chr12:69470584-69471095	chr12:69616536-69616756	0.0833933	3.72361e-10	proximal	distal	4
chr12:69585254-69586047	chr12:69644040-69644190	0.0227554	0.612027	proximal	distal	4
chr12:69738425-69739595	chr12:70163351-70163534	0.0399745	0.0572444	proximal	distal	8
chr1:27012923-27013428	chr1:27154755-27155602	0.0576375	0.000136037	proximal	distal	4
chr1:27012923-27013428	chr1:27526826-27527021	0.0850201	1.41356e-10	proximal	distal	4
chr12:70163351-70163534	chr12:70365501-70366008	0.0954419	1.76827e-13	proximal	distal	4
chr12:7018463-7019059	chr12:7833039-7833189	0.0219988	0.612027	proximal	distal	4
chr1:27046028-27046180	chr1:27830550-27830938	0.0244259	0.612027	proximal	distal	8
chr12:71483445-71483644	chr12:71686299-71686543	0.0410901	0.04173	proximal	distal	4
chr1:27154755-27155602	chr1:27672085-27672486	0.0821676	7.62964e-10	proximal	distal	4
chr1:27154755-27155602	chr1:27725500-27726077	0.0411357	0.041162	proximal	distal	8
chr1:27233959-27234165	chr1:27568392-27568772	0.0896944	7.93521e-12	proximal	distal	8
chr1:27300732-27301118	chr1:27392332-27392619	0.0868144	4.76982e-11	proximal	distal	4
chr1:27341020-27341298	chr1:27357585-27357741	0.257661	0	proximal	distal	4
chr1:27341020-27341298	chr1:27526826-27527021	0.0231911	0.612027	proximal	distal	4
chr1:27341880-27342030	chr1:27537466-27537638	0.0585095	9.53586e-05	proximal	distal	4
chr1:27349673-27349832	chr1:27366473-27366700	0.0243578	0.612027	proximal	distal	4
chr1:27365496-27366348	chr1:27959454-27959654	0.0524248	0.00102184	proximal	distal	8
chr1:27526826-27527021	chr1:27726224-27726570	0.174445	0	proximal	distal	8
chr1:27526826-27527021	chr1:28259254-28259963	0.0226857	0.612027	proximal	distal	4
chr1:27537466-27537638	chr1:28232578-28233136	0.0285429	0.612027	proximal	distal	4
chr1:27568392-27568772	chr1:28088296-28089295	0.0322294	0.405281	proximal	distal	4
chr1:27568392-27568772	chr1:28235880-28236324	0.0540817	0.000549581	proximal	distal	8
chr1:27575830-27576107	chr1:27959454-27959654	0.087612	2.91927e-11	proximal	distal	8
chr1:27631923-27632134	chr1:27914455-27915222	0.178815	0	proximal	distal	4
chr1:27631923-27632134	chr1:28369492-28370571	0.0511758	0.00160904	proximal	distal	4
chr1:27643953-27644157	chr1:28247987-28248247	0.0460407	0.00925503	proximal	distal	4
chr12:76530479-76530639	chr12:77324775-77325111	0.0783879	6.52313e-09	proximal	distal	4
chr12:76559414-76560062	chr12:76938778-76938933	0.0418092	0.0338765	proximal	distal	8
chr1:27663222-27663437	chr1:27669242-27669435	0.0635204	1.10844e-05	proximal	distal	4
chr1:27663222-27663437	chr1:27726224-27726570	0.132811	0	proximal	distal	8
chr12:76763803-76764629	chr12:76909415-76909594	0.0221053	0.612027	proximal	distal	4
chr1:27857921-27858276	chr1:28235880-28236324	0.0270922	0.612027	proximal	distal	8
chr12:79045162-79045926	chr12:79768893-79769090	0.121589	0	proximal	distal	4
chr12:79934639-79935555	chr12:80186780-80186980	0.0378749	0.101454	proximal	distal	8
chr12:80149801-80150167	chr12:80937521-80938036	0.0447169	0.0140312	proximal	distal	4
chr12:8032590-8032940	chr12:8237594-8237744	0.147404	0	proximal	distal	4
chr12:8032590-8032940	chr12:8891102-8891275	0.0263909	0.612027	proximal	distal	4
chr12:8081876-8082288	chr12:8692670-8692972	0.0886249	1.55767e-11	proximal	distal	4
chr1:28088296-28089295	chr1:28861739-28861941	0.0381492	0.0943437	proximal	distal	4
chr1:28105177-28105403	chr1:28369492-28370571	0.0335078	0.302328	proximal	distal	4
chr1:28167393-28167543	chr1:28887805-28888283	0.147013	0	proximal	distal	4
chr1:28183954-28184195	chr1:28887805-28888283	0.0215807	0.612027	proximal	distal	4
chr1:28232578-28233136	chr1:28248372-28248693	0.0249239	0.612027	proximal	distal	4
chr1:28235347-28235774	chr1:28248372-28248693	0.0231446	0.612027	proximal	distal	8
chr1:28235347-28235774	chr1:28636818-28637018	0.0243073	0.612027	proximal	distal	8
chr12:8242879-8243909	chr12:8880370-8880586	0.0296109	0.612027	proximal	distal	8
chr1:28246911-28247512	chr1:28511424-28511781	0.0216159	0.612027	proximal	distal	4
chr1:28259254-28259963	chr1:28893850-28894072	0.0246336	0.612027	proximal	distal	4
chr1:28328585-28329173	chr1:28437421-28437595	0.0268185	0.612027	proximal	distal	4
chr1:28328585-28329173	chr1:28846054-28846216	0.0632357	1.25866e-05	proximal	distal	4
chr1:28328585-28329173	chr1:28914176-28914961	0.0854749	1.07484e-10	proximal	distal	4
chr1:28369492-28370571	chr1:28713813-28713963	0.0331817	0.326416	proximal	distal	4
chr12:8396664-8396985	chr12:8891102-8891275	0.0242616	0.612027	proximal	distal	4
chr1:28403265-28403415	chr1:28668415-28669158	0.0290174	0.612027	proximal	distal	4
chr12:84363235-84363385	chr12:84912691-84913025	0.383556	0	proximal	distal	4
chr1:28437971-28438121	chr1:28886975-28887288	0.0433293	0.0215144	proximal	distal	4
chr1:28518025-28518359	chr1:29236699-29236853	0.0227937	0.612027	proximal	distal	4
chr12:85182742-85183004	chr12:85280003-85280960	0.277294	0	proximal	distal	4
chr1:28552788-28553180	chr1:28884898-28885210	0.0266847	0.612027	proximal	distal	4
chr1:28553265-28553636	chr1:28713813-28713963	0.0771905	1.2631e-08	proximal	distal	4
chr1:28553265-28553636	chr1:29079764-29079914	0.0598071	5.56243e-05	proximal	distal	4
chr1:28581320-28582196	chr1:29181419-29182337	0.0456622	0.0104238	proximal	distal	4
chr1:28642771-28643458	chr1:28846054-28846216	0.0262972	0.612027	proximal	distal	4
chr1:28648510-28649450	chr1:28983560-28983710	0.0219074	0.612027	proximal	distal	8
chr12:8681485-8681838	chr12:8891102-8891275	0.1281	0	proximal	distal	4
chr1:28737643-28737840	chr1:28785096-28785418	0.163981	0	proximal	distal	4
chr1:28812274-28812521	chr1:28893850-28894072	0.272288	0	proximal	distal	4
chr1:28882131-28882399	chr1:29124564-29124972	0.0272113	0.612027	proximal	distal	4
chr1:28886975-28887288	chr1:29105800-29105981	0.0240427	0.612027	proximal	distal	4
chr1:28893850-28894072	chr1:29230661-29231116	0.118399	0	proximal	distal	4
chr12:8933209-8933359	chr12:8949274-8950140	0.029193	0.612027	proximal	distal	8
chr12:89709952-89710286	chr12:89812491-89812641	0.0624799	1.75831e-05	proximal	distal	4
chr1:29123863-29124079	chr1:29125439-29125599	0.233685	0	proximal	distal	4
chr12:92667285-92667435	chr12:93377700-93378127	0.0378256	0.102765	proximal	distal	8
chr12:93570283-93570673	chr12:93886397-93887014	0.0317943	0.447201	proximal	distal	4
chr12:93886397-93887014	chr12:94459796-94460318	0.123762	0	proximal	distal	8
chr12:94101443-94101811	chr12:94459796-94460318	0.0550616	0.000377838	proximal	distal	8
chr12:94699987-94700302	chr12:95217136-95217926	0.0602612	4.59651e-05	proximal	distal	8
chr12:95003991-95004175	chr12:95918582-95918775	0.339195	0	proximal	distal	4
chr12:95072738-95073804	chr12:95647716-95647961	0.028402	0.612027	proximal	distal	4
chr12:95473776-95474263	chr12:95474515-95474665	0.0328289	0.35362	proximal	distal	4
chr12:95548264-95548734	chr12:95942456-95942797	0.0972154	5.17006e-14	proximal	distal	8
chr12:98491077-98491261	chr12:98645454-98645778	0.0460558	0.00921119	proximal	distal	8
chr12:98515169-98515364	chr12:99437499-99437714	0.0706395	3.84929e-07	proximal	distal	4
chr12:98515443-98515685	chr12:99437499-99437714	0.333088	0	proximal	distal	8
chr1:30669597-30669747	chr1:30824015-30824742	0.0299988	0.612027	proximal	distal	4
chr1:30719078-30719506	chr1:30801426-30801721	0.0608936	3.50777e-05	proximal	distal	4
chr1:30719078-30719506	chr1:31431776-31432163	0.0687609	9.69278e-07	proximal	distal	4
chr13:100088797-100089729	chr13:100342703-100342895	0.0412096	0.0403241	proximal	distal	8
chr13:100443331-100443611	chr13:100588762-100588930	0.159109	0	proximal	distal	4
chr1:31065189-31066156	chr1:31181517-31181895	0.0586817	8.89303e-05	proximal	distal	4
chr1:31065189-31066156	chr1:31373041-31373985	0.0338052	0.282129	proximal	distal	4
chr13:110615390-110615625	chr13:111382496-111382681	0.166641	0	proximal	distal	8
chr13:110712738-110713373	chr13:110874676-110874863	0.0721514	1.80175e-07	proximal	distal	8
chr13:110870049-110870599	chr13:111223507-111223657	0.03159	0.467744	proximal	distal	4
chr13:110870049-110870599	chr13:111239022-111239172	0.119924	0	proximal	distal	4
chr13:113208962-113209572	chr13:113397770-113397955	0.0249517	0.612027	proximal	distal	4
chr13:113296768-113297747	chr13:113328194-113328367	0.153971	0	proximal	distal	4
chr13:113584423-113584841	chr13:113854745-113854974	0.0921201	1.67061e-12	proximal	distal	4
chr13:113667649-113667799	chr13:113854745-113854974	0.0255423	0.612027	proximal	distal	4
chr1:31231299-31231462	chr1:31617957-31618535	0.0407162	0.046487	proximal	distal	4
chr1:31297320-31297664	chr1:31386735-31386885	0.0931307	8.58053e-13	proximal	distal	8
chr1:31407316-31407535	chr1:31788566-31788797	0.0818934	8.9551e-10	proximal	distal	4
chr1:31413480-31413824	chr1:31644820-31645391	0.17896	0	proximal	distal	8
chr1:31548969-31549522	chr1:31788876-31789500	0.0511442	0.00162771	proximal	distal	4
chr1:31584200-31584433	chr1:31788876-31789500	0.0502415	0.00224446	proximal	distal	4
chr1:31584200-31584433	chr1:32464591-32465554	0.0329035	0.347832	proximal	distal	8
chr1:31617957-31618535	chr1:32090789-32090939	0.0336903	0.289766	proximal	distal	4
chr1:31714539-31715418	chr1:32107857-32108231	0.195654	0	proximal	distal	4
chr1:31715489-31715920	chr1:31788566-31788797	0.0510493	0.00168315	proximal	distal	4
chr1:31788566-31788797	chr1:32248046-32248638	0.0316197	0.464523	proximal	distal	4
chr1:31788566-31788797	chr1:32449200-32449461	0.0641587	8.32231e-06	proximal	distal	4
chr1:31788876-31789500	chr1:32449200-32449461	0.0496648	0.00274508	proximal	distal	4
chr1:31815926-31816216	chr1:32449200-32449461	0.0283681	0.612027	proximal	distal	4
chr13:19109142-19109295	chr13:19863457-19863903	0.0681644	1.28967e-06	proximal	distal	8
chr1:31937740-31937939	chr1:32200550-32200885	0.0984314	2.61359e-14	proximal	distal	4
chr13:19633343-19633763	chr13:19664814-19664964	0.0599053	5.34245e-05	proximal	distal	4
chr13:20184224-20184374	chr13:20703970-20704585	0.125909	0	proximal	distal	4
chr1:32019226-32019534	chr1:32200550-32200885	0.107327	0	proximal	distal	4
chr1:32040390-32040624	chr1:32741496-32741729	0.134019	0	proximal	distal	4
chr1:32062305-32062828	chr1:32200550-32200885	0.0265281	0.612027	proximal	distal	4
chr1:32107857-32108231	chr1:32933434-32933676	0.0516385	0.0013604	proximal	distal	4
chr13:21113696-21113846	chr13:21176384-21176801	0.117148	0	proximal	distal	8
chr1:32142067-32142266	chr1:32964701-32965120	0.0833339	3.8554e-10	proximal	distal	4
chr1:32200550-32200885	chr1:32864397-32864557	0.0893121	1.01134e-11	proximal	distal	4
chr1:32221832-32222456	chr1:32500334-32501147	0.0241265	0.612027	proximal	distal	4
chr1:32221832-32222456	chr1:32972967-32973169	0.0263342	0.612027	proximal	distal	4
chr1:32222674-32222919	chr1:32448394-32448591	0.0940565	4.70679e-13	proximal	distal	4
chr1:32222674-32222919	chr1:32500334-32501147	0.0223755	0.612027	proximal	distal	4
chr1:32248046-32248638	chr1:32886608-32886953	0.0244623	0.612027	proximal	distal	4
chr1:32336096-32336749	chr1:32611966-32612129	0.0224003	0.612027	proximal	distal	4
chr1:32336096-32336749	chr1:32754115-32754294	0.0258827	0.612027	proximal	distal	4
chr1:32336096-32336749	chr1:32754468-32754619	0.0450309	0.0127301	proximal	distal	4
chr1:32449200-32449461	chr1:32650465-32650707	0.037277	0.118774	proximal	distal	8
chr1:32500334-32501147	chr1:33430489-33430699	0.0313259	0.496281	proximal	distal	4
chr1:32539801-32540029	chr1:32773072-32773249	0.0811015	1.4141e-09	proximal	distal	4
chr1:32650465-32650707	chr1:32773072-32773249	0.0368777	0.131831	proximal	distal	8
chr1:32650465-32650707	chr1:32963152-32963357	0.0214795	0.612027	proximal	distal	8
chr13:27022904-27023279	chr13:27919907-27920317	0.0822767	7.16244e-10	proximal	distal	4
chr13:27035010-27035181	chr13:27968689-27969436	0.0533273	0.000730773	proximal	distal	4
chr1:32712202-32712679	chr1:33430800-33431302	0.031532	0.473806	proximal	distal	4
chr1:32741496-32741729	chr1:33338570-33338761	0.095507	1.76827e-13	proximal	distal	4
chr13:27449927-27450681	chr13:27826601-27826848	0.0456076	0.0106096	proximal	distal	8
chr1:32753776-32754023	chr1:32964701-32965120	0.0243674	0.612027	proximal	distal	4
chr1:32753776-32754023	chr1:33080908-33081234	0.125475	0	proximal	distal	8
chr13:27620169-27620902	chr13:28016351-28016532	0.034599	0.233597	proximal	distal	8
chr13:27621665-27621884	chr13:28139107-28139620	0.0406779	0.0469848	proximal	distal	4
chr1:32773072-32773249	chr1:32817260-32818351	0.0353078	0.196472	proximal	distal	4
chr13:27988540-27988771	chr13:28324324-28324526	0.0694232	7.01916e-07	proximal	distal	4
chr13:28138075-28138246	chr13:28619237-28619387	0.0863692	6.26473e-11	proximal	distal	8
chr1:32817260-32818351	chr1:32892932-32893146	0.409781	0	proximal	distal	4
chr13:28658831-28659195	chr13:28693683-28693838	0.0770843	1.33887e-08	proximal	distal	8
chr1:32871078-32871407	chr1:32963681-32964130	0.0406319	0.047612	proximal	distal	4
chr13:29924131-29924438	chr13:30408319-30408621	0.0665892	2.71361e-06	proximal	distal	4
chr13:30205590-30205740	chr13:30421556-30422481	0.0535514	0.000671313	proximal	distal	8
chr1:33030353-33030517	chr1:33349826-33350195	0.0317142	0.454832	proximal	distal	4
chr13:30306778-30307847	chr13:30548109-30548259	0.593225	0	proximal	distal	4
chr1:33036006-33036216	chr1:33080908-33081234	0.203082	0	proximal	distal	8
chr1:33036358-33036508	chr1:33181946-33182215	0.0691392	8.05926e-07	proximal	distal	4
chr13:30408319-30408621	chr13:30542340-30542490	0.0307659	0.561054	proximal	distal	4
chr1:33081299-33081556	chr1:33126993-33127670	0.0277173	0.612027	proximal	distal	8
chr13:31161782-31162768	chr13:31752520-31752787	0.0811931	1.34135e-09	proximal	distal	4
chr1:33181946-33182215	chr1:33578847-33578997	0.0331191	0.331049	proximal	distal	4
chr13:39655532-39656422	chr13:40116151-40116406	0.0685485	1.07251e-06	proximal	distal	4
chr13:40613571-40613859	chr13:40921277-40921558	0.122545	0	proximal	distal	8
chr13:40789228-40789611	chr13:40974571-40974923	0.0891341	1.13341e-11	proximal	distal	4
chr13:41054349-41054507	chr13:41061184-41061918	0.198284	0	proximal	distal	8
chr13:41194471-41194776	chr13:41876301-41876540	0.222459	0	proximal	distal	4
chr13:41310965-41311664	chr13:41353126-41353276	0.0602768	4.5662e-05	proximal	distal	4
chr13:41352355-41352505	chr13:41960771-41960958	0.386885	0	proximal	distal	4
chr13:41876301-41876540	chr13:42272619-42272786	0.14546	0	proximal	distal	4
chr13:41919379-41919690	chr13:41961017-41961464	0.0400392	0.0562145	proximal	distal	4
chr13:42003839-42003989	chr13:42991979-42992247	0.029117	0.612027	proximal	distal	4
chr13:43058403-43058648	chr13:43878979-43879664	0.0769842	1.41436e-08	proximal	distal	8
chr13:43110866-43111016	chr13:43879730-43880095	0.179157	0	proximal	distal	8
chr13:43878979-43879664	chr13:44141689-44142563	0.025342	0.612027	proximal	distal	8
chr13:44374193-44374415	chr13:44789228-44789378	0.0424443	0.0280601	proximal	distal	4
chr13:45120281-45120807	chr13:45329738-45329977	0.149934	0	proximal	distal	4
chr13:45417808-45418299	chr13:45811218-45811383	0.0990038	2.61359e-14	proximal	distal	8
chr13:45465179-45465342	chr13:45471266-45471477	0.0341172	0.262232	proximal	distal	4
chr13:48303935-48304129	chr13:48508891-48509053	0.103395	0	proximal	distal	8
chr13:48975648-48975995	chr13:49242084-49242248	0.105491	0	proximal	distal	4
chr1:3491350-3491528	chr1:3901096-3901524	0.0560733	0.000254541	proximal	distal	4
chr13:49247761-49248432	chr13:49978219-49978369	0.0650627	5.51614e-06	proximal	distal	8
chr13:49690852-49691725	chr13:50244889-50245315	0.0566414	0.000203115	proximal	distal	4
chr13:49690852-49691725	chr13:50378546-50378731	0.062104	2.07696e-05	proximal	distal	4
chr13:49792243-49793185	chr13:49913240-49913498	0.139504	0	proximal	distal	8
chr13:49792243-49793185	chr13:50118762-50119038	0.0244567	0.612027	proximal	distal	8
chr13:49792243-49793185	chr13:50124133-50124932	0.0327596	0.358999	proximal	distal	8
chr13:49978219-49978369	chr13:50125017-50125187	0.0594741	6.39069e-05	proximal	distal	8
chr13:50081471-50081648	chr13:50124133-50124932	0.0584786	9.65773e-05	proximal	distal	4
chr13:50124133-50124932	chr13:50125017-50125187	0.0364853	0.145836	proximal	distal	8
chr13:50125415-50125805	chr13:50244889-50245315	0.166977	0	proximal	distal	8
chr13:50529194-50529768	chr13:51222023-51222448	0.459521	0	proximal	distal	4
chr1:35079173-35079689	chr1:35807479-35807786	0.0476797	0.0054097	proximal	distal	4
chr13:50909694-50909909	chr13:51090472-51090622	0.0599764	5.18405e-05	proximal	distal	8
chr13:52128987-52129223	chr13:52928616-52928798	0.147584	0	proximal	distal	8
chr13:52317043-52317202	chr13:52651985-52652489	0.0826277	5.83416e-10	proximal	distal	8
chr13:52356503-52356653	chr13:52599924-52600518	0.03224	0.404317	proximal	distal	8
chr13:52440894-52441234	chr13:52450559-52450874	0.0407028	0.0466574	proximal	distal	4
chr1:35280633-35280783	chr1:35641229-35642127	0.0318741	0.438981	proximal	distal	4
chr1:35500648-35500798	chr1:35769329-35770368	0.0955261	1.76827e-13	proximal	distal	4
chr1:35568997-35569172	chr1:35930384-35930534	0.243379	0	proximal	distal	8
chr1:35681362-35681598	chr1:36088677-36088920	0.0530541	0.000809348	proximal	distal	4
chr1:35729316-35729466	chr1:36089034-36089305	0.0619489	2.22382e-05	proximal	distal	4
chr1:35769329-35770368	chr1:36420850-36421131	0.0230773	0.612027	proximal	distal	4
chr1:35882937-35883696	chr1:36089034-36089305	0.0424195	0.0282678	proximal	distal	4
chr1:35930384-35930534	chr1:36440554-36440726	0.280611	0	proximal	distal	8
chr1:35941040-35941430	chr1:36156518-36156833	0.168143	0	proximal	distal	4
chr13:60163537-60164273	chr13:60323130-60323291	0.0558259	0.000280725	proximal	distal	4
chr13:60163537-60164273	chr13:60518217-60518367	0.115142	0	proximal	distal	4
chr1:36109227-36109413	chr1:36224019-36225076	0.029511	0.612027	proximal	distal	4
chr1:36155805-36156411	chr1:36188030-36188483	0.0456956	0.0103196	proximal	distal	8
chr1:36188030-36188483	chr1:36397829-36398093	0.0390192	0.0745413	proximal	distal	4
chr1:3624515-3625240	chr1:3703277-3703427	0.0362921	0.153185	proximal	distal	8
chr13:67216814-67216967	chr13:67231151-67231357	0.0267273	0.612027	proximal	distal	4
chr13:71308406-71308556	chr13:71866750-71867549	0.0232444	0.612027	proximal	distal	4
chr13:71866750-71867549	chr13:71956407-71956569	0.0293284	0.612027	proximal	distal	4
chr1:37473720-37473886	chr1:37532508-37532933	0.0281001	0.612027	proximal	distal	8
chr13:75469176-75469419	chr13:75635545-75636350	0.0221942	0.612027	proximal	distal	4
chr13:77697280-77697954	chr13:78309222-78309535	0.0304519	0.600371	proximal	distal	4
chr13:77919489-77919863	chr13:78215765-78216035	0.303229	0	proximal	distal	4
chr13:78129654-78130029	chr13:78658608-78659265	0.0277746	0.612027	proximal	distal	4
chr13:78169465-78169821	chr13:78658608-78659265	0.100214	0	proximal	distal	4
chr13:78658608-78659265	chr13:79102296-79102470	0.0580431	0.000115509	proximal	distal	4
chr13:79393808-79394317	chr13:79406451-79406842	0.0882863	1.92497e-11	proximal	distal	8
