peak	types	genes	states	n_edges
chr15:55397110-55397260	distal	.	.	2
chr15:55408280-55408719	proximal	CCPG1,PIERCE2	.	4
chr15:55498343-55498595	proximal	DNAAF4-CCPG1	.	2
chr15:55588339-55588798	proximal	ENSG00000285805,PYGO1	.	12
chr15:55741732-55741882	distal	.	.	4
chr15:55825132-55825282	distal	.	.	2
chr15:55993308-55993913	proximal	NEDD4	.	10
chr15:56243719-56244151	proximal	TEX9	.	2
chr15:56886975-56887643	proximal	ENSG00000276524	.	6
chr15:57306475-57306918	distal	.	.	4
chr15:57505592-57505742	distal	.	.	2
chr15:57908232-57908382	distal	.	.	2
chr15:57951489-57951702	distal	.	.	4
chr15:57963501-57963658	distal	.	.	2
chr15:58038794-58039137	distal	.	.	4
chr15:58332116-58332513	distal	.	.	4
chr15:58749464-58750146	proximal	ADAM10,ENSG00000286897	.	8
chr15:58770967-58771387	proximal	MINDY2,MINDY2-DT	.	8
chr15:58933115-58933444	proximal	SLTM	.	4
chr15:58933506-58934024	proximal	SLTM	.	2
chr15:58987952-58988206	distal	.	.	2
chr15:59104980-59105273	proximal	CCNB2	.	4
chr15:59105384-59105789	proximal	CCNB2	.	2
chr15:59313818-59314009	distal	.	.	8
chr15:59372395-59373072	proximal	FAM81A,MYO1E	.	16
chr15:59492979-59493183	distal	.	.	2
chr15:59657068-59657832	proximal	GTF2A2	.	4
chr15:59688949-59689207	proximal	BNIP2,ENSG00000259238	.	8
chr15:59704276-59704761	distal	.	.	4
chr15:59953395-59953904	distal	.	.	2
chr15:60398474-60398988	distal	.	.	4
chr15:63042446-63042681	proximal	TPM1	.	4
chr15:63157451-63157767	proximal	RPS27L	.	4
chr15:63487423-63487624	distal	.	.	4
chr15:63493497-63493647	distal	.	.	4
chr15:63504308-63504694	proximal	USP3	.	8
chr15:63600528-63601021	proximal	USP3-AS1	.	2
chr15:63752199-63752374	distal	.	.	4
chr15:63833957-63834121	proximal	HERC1	.	2
chr15:63908332-63908556	distal	.	.	2
chr15:63942578-63942728	distal	.	.	4
chr15:64093387-64094098	proximal	CIAO2A,SNX1	.	16
chr15:64094241-64094418	proximal	CIAO2A,SNX1	.	8
chr15:64151367-64151749	proximal	SNX22	.	6
chr15:64155836-64156028	distal	.	.	2
chr15:64327069-64327270	distal	.	.	8
chr15:64356007-64356616	proximal	CSNK1G1	.	2
chr15:64381081-64381704	proximal	ENSG00000259316	.	12
chr15:64461382-64461581	proximal	ZNF609	.	10
chr15:64507687-64507837	distal	.	.	18
chr15:64597248-64597401	distal	.	.	4
chr15:64825414-64826208	proximal	PIF1	.	14
chr15:64835727-64836042	distal	.	.	2
chr15:64841365-64841856	proximal	ENSG00000249240,PLEKHO2	.	20
chr15:64935259-64935482	distal	.	.	6
chr15:64989660-64990127	proximal	SPG21	.	4
chr15:65022234-65022425	distal	.	.	10
chr15:65095164-65095314	distal	.	.	2
chr15:65116872-65117080	distal	.	.	10
chr15:65165079-65165282	distal	.	.	8
chr15:65185081-65185619	proximal	CLPX	.	4
chr15:65198655-65198825	distal	.	.	2
chr15:65271049-65271207	distal	.	.	4
chr15:65286521-65287098	distal	.	.	6
chr15:65295791-65296832	distal	.	.	8
chr15:65297795-65298051	distal	.	.	4
chr15:65304278-65304485	distal	.	.	2
chr15:65304598-65305248	distal	.	.	2
chr15:65377341-65377866	proximal	IGDCC3	.	4
chr15:65384740-65385262	distal	.	.	10
chr15:65385421-65386085	distal	.	.	10
chr15:65400805-65401097	distal	.	.	6
chr15:65401407-65401663	distal	.	.	2
chr15:65414987-65415137	distal	.	.	12
chr15:65415238-65415446	distal	.	.	2
chr15:65472876-65473026	distal	.	.	12
chr15:65488916-65489123	distal	.	.	4
chr15:65517009-65517899	proximal	DPP8	.	8
chr15:65530227-65530744	proximal	HACD3	.	4
chr15:65542081-65542400	distal	.	.	4
chr15:65610831-65611682	proximal	INTS14,SLC24A1	.	36
chr15:65665654-65665837	distal	.	.	4
chr15:65774049-65774199	distal	.	.	10
chr15:65778942-65779092	distal	.	.	2
chr15:65832722-65833215	distal	.	.	6
chr15:65869040-65869977	distal	.	.	6
chr15:66293379-66293879	proximal	DIS3L,DIS3L-AS1	.	24
chr15:66334313-66334475	distal	.	.	6
chr15:66356561-66357128	distal	.	.	4
chr15:66386382-66387080	proximal	MAP2K1,TIPIN	.	12
chr15:66497539-66498391	proximal	SNAPC5	.	12
chr15:66505281-66505662	proximal	ZWILCH	.	6
chr15:66553772-66554098	distal	.	.	4
chr15:66567069-66567502	distal	.	.	12
chr15:66619262-66619538	distal	.	.	8
chr15:66632910-66633060	distal	.	.	12
chr15:66671086-66671311	distal	.	.	8
chr15:66700942-66702370	proximal	SMAD6	.	2
chr15:66707406-66707660	distal	.	.	2
chr15:66725650-66725800	distal	.	.	2
chr15:66770855-66771275	distal	.	.	2
chr15:66797043-66797262	distal	.	.	2
chr15:66803209-66803418	distal	.	.	2
chr15:66804154-66804304	distal	.	.	2
chr15:66841959-66842163	distal	.	.	2
chr15:66862933-66863132	distal	.	.	2
chr15:66961609-66961818	distal	.	.	2
chr15:67065298-67065916	proximal	ENSG00000259347	.	4
chr15:67222658-67222827	distal	.	.	2
chr15:67254299-67255096	proximal	AAGAB,IQCH	.	16
chr15:67383294-67383462	distal	.	.	10
chr15:67433629-67433779	distal	.	.	2
chr15:67520907-67521803	proximal	C15orf61,IQCH-AS1	.	16
chr15:67542865-67543276	proximal	MAP2K5,MAP2K5-DT	.	8
chr15:67600333-67600531	distal	.	.	2
chr15:67637428-67637667	distal	.	.	4
chr15:67720710-67721101	distal	.	.	4
chr15:67840012-67840162	distal	.	.	8
chr15:67863536-67863940	distal	.	.	2
chr15:67884491-67885139	distal	.	.	4
chr15:68053939-68054671	proximal	PIAS1	.	2
chr15:68054753-68054914	proximal	PIAS1	.	4
chr15:68190252-68190419	distal	.	.	2
chr15:68200695-68200896	distal	.	.	4
chr15:68210826-68211211	distal	.	.	4
chr15:68229348-68229531	proximal	ENSG00000260007	.	4
chr15:68229617-68230160	proximal	ENSG00000260007	.	6
chr15:68253054-68253204	distal	.	.	8
chr15:68277155-68277460	proximal	ENSG00000260657,FEM1B	.	16
chr15:68277566-68277834	proximal	ENSG00000260657,FEM1B	.	16
chr15:68278014-68278674	proximal	ENSG00000260657,FEM1B	.	24
chr15:68304625-68304796	distal	.	.	10
chr15:68402045-68402233	distal	.	.	2
chr15:68578893-68579049	proximal	CORO2B	.	4
chr15:68629266-68629416	distal	.	.	4
chr15:68651079-68651343	distal	.	.	4
chr15:68657796-68658011	distal	.	.	10
chr15:68674078-68674309	distal	.	.	4
chr15:68700660-68701134	distal	.	.	12
chr15:68710747-68710965	distal	.	.	4
chr15:68776841-68776999	distal	.	.	8
chr15:68818179-68818575	proximal	SPESP1	.	12
chr15:68839799-68839949	distal	.	.	2
chr15:68843906-68844056	distal	.	.	4
chr15:68875672-68875867	distal	.	.	8
chr15:68888572-68888722	distal	.	.	2
chr15:69059157-69059479	distal	.	.	4
chr15:69126052-69126417	distal	.	.	4
chr15:69145949-69146137	distal	.	.	2
chr15:69160053-69161051	proximal	GLCE	.	4
chr15:69235105-69235324	distal	.	.	14
chr15:69246876-69247026	distal	.	.	2
chr15:69298776-69299107	proximal	PAQR5,PAQR5-DT	.	12
chr15:69337248-69337398	distal	.	.	2
chr15:69394630-69394911	distal	.	.	6
chr15:69414680-69414860	proximal	KIF23,KIF23-AS1	.	8
chr15:69452660-69453106	proximal	RPLP1	.	8
chr15:69462297-69463107	proximal	DRAIC,LINC02896	.	16
chr15:69671275-69671458	distal	.	.	8
chr15:69737492-69737642	distal	.	.	2
chr15:69847501-69847651	distal	.	.	6
chr15:69973301-69973451	distal	.	.	4
chr15:70006194-70006380	distal	.	.	2
chr15:70033576-70033917	distal	.	.	2
chr15:70062426-70062944	distal	.	.	8
chr15:70097601-70098121	proximal	TLE3	.	4
chr15:70099515-70099925	distal	.	.	2
chr15:70111319-70111587	distal	.	.	4
chr15:70155109-70155259	distal	.	.	4
chr15:70181475-70181625	distal	.	.	2
chr15:70196638-70196950	distal	.	.	6
chr15:70223052-70223208	distal	.	.	2
chr15:70460333-70460687	distal	.	.	2
chr15:70467041-70467210	distal	.	.	6
chr15:70478282-70478489	distal	.	.	4
chr15:70494391-70494784	distal	.	.	4
chr15:70762531-70762974	proximal	UACA	.	12
chr15:70763047-70763909	proximal	UACA	.	8
chr15:70833992-70834225	distal	.	.	6
chr15:70840934-70841084	distal	.	.	4
chr15:70853812-70854570	proximal	LARP6,LRRC49	.	4
chr15:70891711-70891925	proximal	THAP10	.	4
chr15:70892166-70892958	proximal	THAP10	.	14
chr15:71069712-71069862	distal	.	.	2
chr15:71103149-71103395	distal	.	.	4
chr15:71115887-71116317	proximal	CT62	.	2
chr15:71128833-71129056	distal	.	.	4
chr15:71279085-71279330	distal	.	.	4
chr15:71454720-71454870	distal	.	.	2
chr15:71713288-71713438	distal	.	.	8
chr15:71926273-71926423	distal	.	.	8
chr15:71953772-71954090	distal	.	.	2
chr15:72061603-72061753	distal	.	.	4
chr15:72117312-72117910	proximal	MYO9A	.	14
chr15:72118008-72118704	proximal	MYO9A	.	6
chr15:72199594-72199946	distal	.	.	4
chr15:72230255-72230671	distal	.	.	12
chr15:72230759-72231443	proximal	PKM	.	4
chr15:72251772-72251985	distal	.	.	8
chr15:72272172-72273078	proximal	PARP6	.	4
chr15:72286039-72286198	distal	.	.	4
chr15:72290768-72290936	distal	.	.	2
chr15:72319766-72320436	proximal	CELF6,ENSG00000273025	.	24
chr15:72375901-72376361	proximal	ENSG00000260729,HEXA,HEXA-AS1	.	6
chr15:72389315-72389524	distal	.	.	8
chr15:72473630-72474729	proximal	ARIH1,TMEM202-AS1	.	16
chr15:72475106-72475292	proximal	ARIH1,TMEM202-AS1	.	24
chr15:72513825-72513991	distal	.	.	4
chr15:72636801-72637032	proximal	LINC02259	.	2
chr15:72670589-72671087	distal	.	.	4
chr15:72673642-72673792	distal	.	.	4
chr15:72685910-72686717	proximal	BBS4,HIGD2B	.	24
chr15:72783158-72783316	proximal	ADPGK-AS1	.	8
chr15:72783638-72783991	proximal	ADPGK-AS1	.	12
chr15:72796914-72797444	distal	.	.	8
chr15:73051639-73052434	proximal	NEO1	.	8
chr15:73187441-73187591	distal	.	.	10
chr15:73265539-73265842	distal	.	.	2
chr15:73633202-73633985	proximal	NPTN	.	6
chr15:73683965-73684502	proximal	CD276	.	10
chr15:73700327-73700501	distal	.	.	8
chr15:73752816-73753050	proximal	INSYN1,INSYN1-AS1	.	16
chr15:73810176-73810406	distal	.	.	4
chr15:73857938-73858109	distal	.	.	6
chr15:73897401-73897738	distal	.	.	2
chr15:73927164-73927346	proximal	LOXL1-AS1	.	2
chr15:73950969-73951417	distal	.	.	4
chr15:73992177-73992540	distal	.	.	6
chr15:73994590-73995191	proximal	PML,STOML1	.	4
chr15:74040603-74040770	distal	.	.	10
chr15:74065854-74066016	distal	.	.	8
chr15:74072144-74072518	distal	.	.	8
chr15:74089648-74089928	distal	.	.	2
chr15:74095681-74095964	distal	.	.	20
chr15:74099930-74100408	proximal	ISLR2	.	8
chr15:74136051-74136890	distal	.	.	10
chr15:74177858-74178027	distal	.	.	10
chr15:74185435-74185585	distal	.	.	6
chr15:74202952-74203114	proximal	CCDC33	.	6
chr15:74255926-74256154	distal	.	.	4
chr15:74307832-74308021	distal	.	.	6
chr15:74373509-74373970	proximal	ENSG00000274937	.	6
chr15:74374321-74374577	proximal	ENSG00000274937	.	16
chr15:74382435-74382629	distal	.	.	6
chr15:74433905-74434155	proximal	SEMA7A	.	16
chr15:74461055-74461800	proximal	UBL7,UBL7-DT	.	40
chr15:74489923-74490342	proximal	ENSG00000261775	.	10
chr15:74546042-74546516	distal	.	.	2
chr15:74557780-74557944	distal	.	.	2
chr15:74563460-74563617	distal	.	.	2
chr15:74598361-74598580	proximal	CLK3,ENSG00000275527	.	8
chr15:74614659-74614862	proximal	ENSG00000260919	.	6
chr15:74615269-74615510	proximal	ENSG00000260919	.	10
chr15:74615574-74615924	proximal	ENSG00000260919	.	22
chr15:74635233-74635448	distal	.	.	14
chr15:74643639-74643836	distal	.	.	6
chr15:74688491-74688677	distal	.	.	2
chr15:74695587-74696640	proximal	EDC3	.	10
chr15:74725520-74725876	proximal	CYP1A1	.	2
chr15:74726115-74726481	proximal	CYP1A1	.	4
chr15:74754753-74754903	distal	.	.	12
chr15:74771104-74771360	distal	.	.	10
chr15:74782394-74782569	proximal	CSK	.	12
chr15:74787877-74788061	distal	.	.	14
chr15:74800067-74800420	distal	.	.	10
chr15:74807096-74807246	distal	.	.	10
chr15:74842561-74842790	proximal	ULK3	.	10
chr15:74843122-74843528	proximal	ULK3	.	22
chr15:74857075-74857324	distal	.	.	6
chr15:74872737-74873499	proximal	SCAMP2	.	8
chr15:74873783-74873952	proximal	SCAMP2	.	28
chr15:74889892-74890397	proximal	MPI	.	4
chr15:74906318-74907199	proximal	FAM219B	.	12
chr15:74957377-74957558	proximal	RPP25,SCAMP5	.	4
chr15:74995058-74995670	distal	.	.	16
chr15:75023135-75023285	proximal	PPCDC	.	24
chr15:75023480-75023720	proximal	PPCDC	.	2
chr15:75029353-75029580	distal	.	.	2
chr15:75104644-75104800	distal	.	.	4
chr15:75119736-75120413	distal	.	.	26
chr15:75138011-75138161	distal	.	.	2
chr15:75150232-75150392	distal	.	.	16
chr15:75177824-75178050	distal	.	.	8
chr15:75181006-75181263	distal	.	.	6
chr15:75201794-75202201	distal	.	.	24
chr15:75202587-75202884	distal	.	.	12
chr15:75204833-75205050	distal	.	.	4
chr15:75216016-75216166	distal	.	.	4
chr15:75274272-75274422	distal	.	.	6
chr15:75274528-75275081	distal	.	.	10
chr15:75288593-75288885	distal	.	.	2
chr15:75308103-75308361	distal	.	.	4
chr15:75327523-75327942	distal	.	.	8
chr15:75335920-75336342	proximal	COMMD4	.	14
chr15:75347967-75348165	proximal	ENSG00000275645	.	4
chr15:75367767-75368760	proximal	ENSG00000260274,MAN2C1	.	20
chr15:75440973-75441206	distal	.	.	8
chr15:75450627-75452305	distal	.	.	14
chr15:75453914-75454526	proximal	ENSG00000276744	.	4
chr15:75532506-75532724	distal	.	.	2
chr15:75579200-75579743	proximal	PTPN9	.	10
chr15:75624979-75626167	proximal	ENSG00000260235,SNUPN	.	4
chr15:75631851-75632051	distal	.	.	38
chr15:75638446-75638604	distal	.	.	2
chr15:75640154-75640478	proximal	ENSG00000275454	.	4
chr15:75640541-75640839	proximal	ENSG00000275454	.	6
chr15:75647537-75648065	proximal	IMP3,SNX33	.	56
chr15:75673352-75673502	distal	.	.	4
chr15:75686049-75686200	distal	.	.	6
chr15:75722224-75722374	distal	.	.	2
chr15:75723806-75724065	proximal	ODF3L1	.	6
chr15:75731294-75731450	distal	.	.	2
chr15:75738499-75738840	proximal	DNM1P35,ENSG00000260288	.	16
chr15:75738912-75739109	proximal	DNM1P35	.	2
chr15:75758381-75758867	distal	.	.	10
chr15:75758950-75759147	distal	.	.	4
chr15:75767520-75767707	distal	.	.	4
chr15:75786285-75786547	distal	.	.	4
chr15:75795239-75795422	distal	.	.	2
chr15:75808318-75808514	distal	.	.	8
chr15:75843926-75844278	proximal	UBE2Q2	.	10
chr15:75903607-75904416	proximal	FBXO22	.	14
chr15:75904488-75904667	proximal	FBXO22	.	10
chr15:75914800-75915065	distal	.	.	2
chr15:75942136-75942344	distal	.	.	4
chr15:76059283-76059631	proximal	NRG4,TMEM266	.	8
chr15:76059691-76060091	proximal	NRG4,TMEM266	.	16
chr15:76139591-76139897	distal	.	.	4
chr15:76151074-76151241	distal	.	.	2
chr15:76229269-76229509	distal	.	.	14
chr15:76285336-76285486	distal	.	.	2
chr15:76291510-76291809	distal	.	.	2
chr15:76310807-76311751	proximal	ETFA	.	8
chr15:76732447-76732649	distal	.	.	10
chr15:76916486-76916695	distal	.	.	10
chr15:76931260-76931811	proximal	RCN2	.	8
chr15:77034898-77035048	distal	.	.	4
chr15:77083793-77084114	proximal	TSPAN3	.	4
chr15:77290449-77290679	distal	.	.	4
chr15:77408781-77408931	distal	.	.	2
chr15:77496912-77497078	distal	.	.	2
chr15:77527255-77527510	distal	.	.	6
chr15:77632295-77632445	distal	.	.	6
chr15:77633153-77633741	distal	.	.	32
chr15:77724881-77725112	distal	.	.	8
chr15:77900243-77900624	distal	.	.	6
chr15:77902894-77903099	distal	.	.	8
chr15:77910511-77910690	distal	.	.	6
chr15:77920171-77920321	distal	.	.	2
chr15:77926783-77927055	proximal	ENSG00000290665	.	4
chr15:77944845-77944995	proximal	ENSG00000290666	.	8
chr15:77959429-77959670	distal	.	.	2
chr15:78039642-78039792	distal	.	.	2
chr15:78065587-78065737	distal	.	.	2
chr15:78076818-78076968	proximal	SH2D7,TBC1D2B	.	16
chr15:78113314-78113825	distal	.	.	4
chr15:78131088-78131706	proximal	CIB2,IDH3A	.	24
chr15:78149097-78149571	distal	.	.	14
chr15:78212556-78212996	distal	.	.	10
chr15:78241040-78241469	distal	.	.	6
chr15:78299114-78299869	proximal	ENSG00000277482,SKIC8	.	32
chr15:78308495-78308716	distal	.	.	16
chr15:78360077-78360227	distal	.	.	14
chr15:78395135-78395578	distal	.	.	8
chr15:78422636-78422863	distal	.	.	2
chr15:78481165-78481398	proximal	ENSG00000259474	.	8
chr15:78506877-78508096	proximal	HYKK	.	4
chr15:78540985-78541170	proximal	PSMA4	.	4
chr15:78564937-78565643	proximal	CHRNA5	.	2
chr15:78620076-78620477	distal	.	.	16
chr15:78709428-78709690	distal	.	.	8
chr15:78726884-78727217	proximal	CHRNB4	.	6
chr15:78739826-78740434	distal	.	.	10
chr15:78751097-78751404	proximal	ENSG00000290424	.	8
chr15:78756280-78756430	distal	.	.	2
chr15:78810997-78811668	proximal	ADAMTS7,MORF4L1	.	8
chr15:78860044-78860397	distal	.	.	2
chr15:78907705-78907855	distal	.	.	12
chr15:78909890-78910109	distal	.	.	4
chr15:78945029-78945285	distal	.	.	8
chr15:79016759-79016920	distal	.	.	4
chr15:79091671-79091821	proximal	RASGRF1	.	4
chr15:79157531-79157681	distal	.	.	2
chr15:79343862-79344012	distal	.	.	2
chr15:79431790-79432537	proximal	MINAR1	.	14
chr15:79896610-79897401	proximal	ENSG00000286813,MTHFS	.	4
chr15:79922728-79923187	proximal	ENSG00000278600,ST20,ST20-AS1,ST20-MTHFS	.	16
chr15:79923302-79924134	proximal	ST20,ST20-AS1,ST20-MTHFS	.	36
chr15:80059287-80060247	proximal	ZFAND6	.	10
chr15:80072484-80072634	distal	.	.	12
chr15:80093135-80093317	distal	.	.	2
chr15:80120899-80121203	distal	.	.	6
chr15:80241683-80241848	distal	.	.	2
chr15:80417711-80417861	distal	.	.	12
chr15:80430847-80431009	distal	.	.	16
chr15:80567812-80568011	distal	.	.	4
chr15:80695536-80695908	distal	.	.	2
chr15:80747848-80748069	distal	.	.	8
chr15:80945110-80945260	distal	.	.	2
chr15:80989524-80990067	proximal	MESD	.	12
chr15:81001262-81001529	proximal	ENSG00000288625,TLNRD1	.	8
chr15:81236909-81237186	distal	.	.	8
chr15:81265865-81266297	distal	.	.	2
chr15:81275161-81275311	distal	.	.	4
chr15:81333988-81334138	distal	.	.	2
chr15:81878293-81878908	distal	.	.	2
chr15:82045633-82045795	proximal	MEX3B	.	2
chr15:82068325-82068475	distal	.	.	10
chr15:82198097-82198305	distal	.	.	2
chr15:82261992-82263157	proximal	EFL1,SAXO2	.	8
chr15:82647611-82647956	proximal	CPEB1-AS1	.	2
chr15:82688713-82689032	distal	.	.	4
chr15:82698225-82698375	distal	.	.	2
chr15:82709385-82709665	proximal	AP3B2	.	14
chr15:82709830-82710024	proximal	AP3B2	.	8
chr15:82750285-82750713	proximal	ENSG00000286817,SNHG21	.	12
chr15:82751035-82751185	proximal	ENSG00000286817,SNHG21	.	8
chr15:82809372-82810091	proximal	WHAMM	.	6
chr15:82849684-82849892	distal	.	.	8
chr15:82896462-82896693	distal	.	.	2
chr15:82985839-82986722	proximal	HOMER2,RAMAC	.	8
chr15:83061793-83062076	distal	.	.	4
chr15:83074066-83074236	distal	.	.	8
chr15:83078498-83078748	distal	.	.	4
chr15:83207956-83208194	proximal	HDGFL3	.	4
chr15:83226285-83226435	distal	.	.	8
chr15:83383683-83383926	distal	.	.	4
chr15:83421214-83421455	distal	.	.	8
chr15:83446757-83447838	proximal	SH3GL3	.	4
chr15:83479378-83479538	distal	.	.	4
chr15:83871984-83872155	distal	.	.	4
chr15:83955692-83955842	distal	.	.	8
chr15:84079887-84080741	proximal	ENSG00000291062	.	12
chr15:84092436-84092586	distal	.	.	2
chr15:84142844-84143354	distal	.	.	6
chr15:84164385-84164634	distal	.	.	2
chr15:84172578-84172811	proximal	ENSG00000259694,ENSG00000290688	.	12
chr15:84387226-84387398	distal	.	.	2
chr15:84421604-84422095	proximal	ENSG00000259774	.	2
chr15:84470344-84470670	distal	.	.	2
chr15:84512222-84512646	proximal	ENSG00000291026	.	12
chr15:84512728-84513002	distal	.	.	2
chr15:84570471-84571373	proximal	LINC00933,UBE2Q2P1	.	12
chr15:84585700-84585863	distal	.	.	4
chr15:84588020-84588310	distal	.	.	12
chr15:84600770-84601190	proximal	ZSCAN2	.	4
chr15:84654316-84654480	proximal	WDR73	.	4
chr15:84658171-84658524	proximal	NMB	.	4
chr15:84706865-84707092	distal	.	.	2
chr15:84734923-84735425	distal	.	.	2
chr15:84748749-84749010	proximal	ZNF592	.	2
chr15:84766650-84766800	distal	.	.	4
chr15:84887507-84887662	distal	.	.	10
chr15:84915021-84915455	proximal	ENSG00000286505	.	8
chr15:84928258-84928446	distal	.	.	8
chr15:84955474-84955648	distal	.	.	4
chr15:84980320-84980924	proximal	PDE8A	.	4
chr15:85201768-85201984	distal	.	.	4
chr15:85204388-85204593	distal	.	.	10
chr15:85264148-85264344	distal	.	.	6
chr15:85379930-85380739	proximal	AKAP13	.	4
chr15:85413506-85413799	distal	.	.	4
chr15:85434060-85434243	distal	.	.	6
chr15:85640072-85640233	distal	.	.	2
chr15:85775959-85776109	distal	.	.	2
chr15:88309233-88309383	distal	.	.	4
chr15:88519134-88519372	distal	.	.	2
chr15:88546286-88546829	proximal	DET1,ENSG00000173867	.	12
chr15:88621107-88621641	proximal	AEN	.	8
chr15:88621962-88622112	proximal	AEN	.	4
chr15:88681834-88682085	distal	.	.	4
chr15:88711814-88711964	distal	.	.	2
chr15:88750652-88750802	distal	.	.	2
chr15:88841670-88841989	distal	.	.	4
chr15:88851706-88851942	distal	.	.	4
chr15:88913140-88913584	proximal	MFGE8	.	12
chr15:88960077-88960410	distal	.	.	2
chr15:89004921-89005071	distal	.	.	4
chr15:89017456-89018034	distal	.	.	8
chr15:89020548-89020698	distal	.	.	12
chr15:89040905-89041055	proximal	CARMAL	.	4
chr15:89057613-89057777	distal	.	.	10
chr15:89087957-89088591	proximal	ABHD2,ENSG00000261407	.	8
chr15:89158375-89158583	distal	.	.	4
chr15:89177828-89178002	distal	.	.	6
chr15:89195028-89195243	distal	.	.	12
chr15:89206909-89207074	distal	.	.	4
chr15:89216977-89217161	distal	.	.	2
chr15:89334436-89335390	proximal	POLG,POLG-DT	.	12
chr15:89358688-89359129	distal	.	.	10
chr15:89361794-89362291	proximal	ENSG00000287717,MIR9-3HG	.	8
chr15:89383575-89383912	distal	.	.	2
chr15:89383982-89384296	distal	.	.	8
chr15:89399119-89399315	proximal	ENSG00000289128	.	6
chr15:89399393-89399559	proximal	ENSG00000289128	.	4
chr15:89399907-89400248	proximal	ENSG00000289128	.	8
chr15:89411580-89411828	distal	.	.	4
chr15:89416340-89416521	distal	.	.	2
chr15:89523476-89523626	proximal	LINC00928	.	6
chr15:89556756-89556937	distal	.	.	4
chr15:89560080-89560230	distal	.	.	10
chr15:89575024-89575580	proximal	TICRR	.	4
chr15:89647155-89647651	distal	.	.	22
chr15:89654672-89655754	distal	.	.	6
chr15:89666260-89666432	distal	.	.	2
chr15:89690484-89690874	proximal	PEX11A,WDR93	.	40
chr15:89740111-89740346	distal	.	.	6
chr15:89750755-89751263	proximal	MESP1	.	20
chr15:89760818-89761232	proximal	MESP2	.	4
chr15:89776342-89776677	distal	.	.	2
chr15:89861646-89861822	distal	.	.	18
chr15:89893739-89894805	proximal	AP3S2	.	4
chr15:89912241-89913085	proximal	ARPIN,ARPIN-AP3S2	.	12
chr15:89939819-89940030	distal	.	.	8
chr15:90001763-90002276	proximal	ZNF710	.	2
chr15:90046513-90046663	distal	.	.	6
chr15:90048384-90048534	distal	.	.	8
chr15:90071366-90071516	distal	.	.	2
chr15:90102189-90102740	proximal	IDH2,IDH2-DT	.	32
chr15:90143242-90143783	distal	.	.	2
chr15:90156073-90156223	distal	.	.	8
chr15:90157908-90158103	distal	.	.	18
chr15:90162701-90162861	distal	.	.	8
chr15:90165703-90166002	distal	.	.	6
chr15:90184500-90185045	distal	.	.	2
chr15:90201226-90201900	distal	.	.	14
chr15:90221387-90221579	distal	.	.	2
chr15:90233563-90234297	proximal	CIB1,ENSG00000284626,GDPGP1	.	24
chr15:90249188-90249611	proximal	ENSG00000261147,TTLL13	.	16
chr15:90265300-90265951	proximal	ENSG00000275674,NGRN	.	16
chr15:90319981-90320366	distal	.	.	4
chr15:90351792-90351998	proximal	ZNF774	.	2
chr15:90352056-90352416	proximal	ZNF774	.	14
chr15:90400732-90401026	distal	.	.	4
chr15:90485720-90485870	distal	.	.	4
chr15:90529213-90529570	proximal	CRTC3	.	4
chr15:90529789-90530146	proximal	CRTC3	.	8
chr15:90716999-90717523	proximal	BLM,CRTC3-AS1	.	16
chr15:90780277-90780429	distal	.	.	2
chr15:90807549-90807702	distal	.	.	2
chr15:90864663-90864813	distal	.	.	8
chr15:90903243-90903533	distal	.	.	2
chr15:90930069-90930482	proximal	UNC45A	.	14
chr15:90931744-90931972	distal	.	.	4
chr15:90932500-90932684	distal	.	.	12
chr15:90935125-90935306	proximal	HDDC3	.	4
chr15:90935419-90935659	proximal	HDDC3	.	4
chr15:90954713-90955403	proximal	RCCD1,RCCD1-AS1	.	8
chr15:92304637-92304787	distal	.	.	2
chr15:92808635-92808791	proximal	ENSG00000258922,ENSG00000274215	.	8
chr15:92820229-92820812	proximal	CHASERR,ENSG00000289200	.	8
chr15:92831584-92832135	distal	.	.	2
chr15:92984662-92984812	distal	.	.	2
chr15:93030716-93030877	distal	.	.	8
chr15:93068630-93068999	distal	.	.	10
chr15:95539846-95540012	distal	.	.	2
chr15:95843398-95843548	distal	.	.	2
chr15:95912214-95912399	distal	.	.	2
chr15:96171110-96171315	proximal	ENSG00000259359	.	8
chr15:96171395-96171679	proximal	ENSG00000259359	.	4
chr15:96246604-96246754	distal	.	.	4
chr15:96303421-96303579	distal	.	.	4
chr15:96361068-96361272	distal	.	.	2
chr15:96381013-96381163	distal	.	.	2
chr15:96385583-96385733	distal	.	.	2
chr15:96554385-96554577	distal	.	.	4
chr15:98548181-98548974	distal	.	.	2
chr15:98648056-98648654	proximal	IGF1R,IRAIN	.	8
chr15:98727557-98727837	distal	.	.	4
chr15:98750686-98750884	distal	.	.	6
chr15:98776854-98777163	distal	.	.	6
chr15:98799544-98799777	distal	.	.	2
chr15:98805824-98806024	distal	.	.	6
chr15:98852335-98852600	distal	.	.	2
chr15:98873954-98874196	distal	.	.	6
chr15:98893430-98893748	proximal	ENSG00000259621	.	12
chr15:99014811-99015196	proximal	LUNAR1	.	12
chr15:99015275-99015569	proximal	LUNAR1	.	6
chr15:99059002-99059411	distal	.	.	4
chr15:99076610-99076991	distal	.	.	2
chr15:99100626-99100779	distal	.	.	6
chr15:99104745-99105101	proximal	SYNM-AS1	.	4
chr15:99123519-99124082	distal	.	.	6
chr15:99264222-99264439	distal	.	.	2
